player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Courtney Brown,BrowCo22,2000,1,1,DE,Penn St.,CLE,birth,"Charleston, SC",Charleston,SC,South Carolina,USA
LaVar Arrington,ArriLa00,2000,2,1,LB,Penn St.,WAS,birth,"Pittsburgh, PA",Pittsburgh,PA,Pennsylvania,USA
Chris Samuels,SamuCh00,2000,3,1,T,Alabama,WAS,birth,"Mobile, AL",Mobile,AL,Alabama,USA
Peter Warrick,WarrPe00,2000,4,1,WR,Florida St.,CIN,birth,"Bradenton, FL",Bradenton,FL,Florida,USA
Jamal Lewis,LewiJa00,2000,5,1,RB,Tennessee,BAL,birth,"Atlanta, GA",Atlanta,GA,Georgia,USA
Corey Simon,SimoCo00,2000,6,1,DT,Florida St.,PHI,birth,"Pomano Beach, FL",Pomano Beach,FL,Florida,USA
Thomas Jones,JoneTh00,2000,7,1,RB,Virginia,ARI,birth,"Big Stone Gap, VA",Big Stone Gap,VA,Virginia,USA
Plaxico Burress,BurrPl00,2000,8,1,WR,Michigan St.,PIT,birth,"Norfolk, VA",Norfolk,VA,Virginia,USA
Brian Urlacher,UrlaBr00,2000,9,1,LB,New Mexico,CHI,birth,"Pasco, WA",Pasco,WA,Washington,USA
Travis Taylor,TaylTr01,2000,10,1,WR,Florida,BAL,birth,"Fernandina Beach, FL",Fernandina Beach,FL,Florida,USA
Ron Dayne,DaynRo00,2000,11,1,RB,Wisconsin,NYG,birth,"Berlin, NJ",Berlin,NJ,New Jersey,USA
Shaun Ellis,ElliSh00,2000,12,1,DE,Tennessee,NYJ,birth,"Anderson, SC",Anderson,SC,South Carolina,USA
John Abraham,AbraJo00,2000,13,1,DE,South Carolina,NYJ,birth,"Timmonsville, SC",Timmonsville,SC,South Carolina,USA
Bubba Franks,FranBu00,2000,14,1,TE,Miami (FL),GNB,birth,"Riverside, CA",Riverside,CA,California,USA
Deltha O'Neal,ONeaDe00,2000,15,1,DB,California,DEN,birth,"Palo Alto, CA",Palo Alto,CA,California,USA
Julian Peterson,PeteJu00,2000,16,1,LB,Michigan St.,SFO,birth,"Temple Hills, MD",Temple Hills,MD,Maryland,USA
Sebastian Janikowski,janikseb01,2000,17,1,K,Florida St.,OAK,birth,"Walbrzych, Poland",Walbrzych,,,Poland
Chad Pennington,PennCh01,2000,18,1,QB,Marshall,NYJ,birth,"Knoxville, TN",Knoxville,TN,Tennessee,USA
