"","player_id","actual_name","twitter_handle","birthplace","position","height","height_inches","feet","inches","weight","shooting_hand","college","high_school","draft_team","draft_position","overall_pick","draft_round","round_pick","nba_debut","experience","nba_years","birthdate","birthyear","age","exact_age","birthcity","birthstate","birthcountry","high_school_location","high_school_city","high_school_state","numbers","contract_terms","teams_colors","player_url","scrape_date","high_school_longitude","high_school_latitude","birth_longitude","birth_latitude"
"1","jamesle01","LeBron Raymone James","@KingJames","Akron, Ohio","Small Forward-Power Forward-Shooting Guard","6'8",80,6,8,240,"Right","","Saint Vincent-Saint Mary","Cleveland Cavaliers","1st round 1st pick 1st overall",1,1,1,"10/29/03","10 years",10,"12/30/84",1984,28,"28y 0m 342d 0H 0M 0S","Akron","Ohio","USA","Akron, Ohio","Akron","Ohio","23;6","Signed July 9, 2010 for an assumed $109,837,500 for 6 years.  2015-16 is a Player Option.  2014-15 is an ETO.  Contract includes a 15% trade bonus.","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#8b7500;-Cleveland Cavaliers, 2004-2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2011-2014","http://www.basketball-reference.com/players/j/jamesle01.html","12/7/13 15:54",-81.5190053,41.0814447,-81.5190053,41.0814447
"2","curryst01","Wardell Stephen Curry II","@StephenCurry30","Akron, Ohio","Point Guard","6'3",75,6,3,185,"Right","Davidson College","Charlotte Christian","Golden State Warriors","1st round 7th pick 7th overall",7,1,7,"10/28/09","4 years",4,"3/14/88",1988,25,"25y 0m 267d 18H 0M 0S","Akron","Ohio","USA","Charlotte, North Carolina","Charlotte","North Carolina","30;30","Signed extension on October 31, 2012 for an assumed $44,000,000 for 4 years starting in 2013-14.  Signed July 8, 2009.  Team Option for 2011-12 picked up on September 29, 2010.  Team Option for 2012-13 was picked up on June 29, 2011.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-2014","http://www.basketball-reference.com/players/c/curryst01.html","12/7/13 15:54",-80.8431267,35.2270869,-81.5190053,41.0814447
"3","stoneju01","Julyan Ray Stone","@J_Stone1zero","Alexandria, Virginia","Shooting Guard-Point Guard","6'6",78,6,6,200,"Right","University of Texas at El Paso","Dos Pueblos","","",NA,NA,NA,"1/11/12","2 years",2,"12/7/88",1988,24,"24y 0m 365d 0H 0M 0S","Alexandria","Virginia","USA","Goleta, California","Goleta","California","10;77","Signed September 18, 2013 for an assumed minimum salary for 2 years.  2013-14 is partially guaranteed for $100,000.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2014","http://www.basketball-reference.com/players/s/stoneju01.html","12/7/13 15:54",-119.8276389,34.4358294,-77.0469214,38.8048355
"4","boganke01","Keith Ramon Bogans","","Alexandria, Virginia","Shooting Guard-Small Forward","6'5",77,6,5,215,"Right","University of Kentucky","DeMatha Catholic","Milwaukee Bucks","2nd round 14th pick 43rd overall",43,2,14,"11/7/03","10 years",10,"5/12/80",1980,33,"33y 0m 208d 18H 0M 0S","Alexandria","Virginia","USA","Hyattsville, Maryland","Hyattsville","Maryland","3;10;10;10;10;10;6;6;10;4","Signed July 12, 2013 for an assumed $15,857,451 for 3 years.  2014-15 and 2015-16 are not guaranteed.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2004-poptip uni_square-color:#ffffff;background-color:#ff3030;border-color:#191970;-Charlotte Bobcats, 2005-2006-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2006-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2007-2009-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2009-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2014","http://www.basketball-reference.com/players/b/boganke01.html","12/7/13 15:54",-76.9455301,38.9559442,-77.0469214,38.8048355
"5","barneha02","Harrison Bryce Jordan Barnes","@HBarnes","Ames, Iowa","Small Forward","6'8",80,6,8,210,"Right","University of North Carolina","Ames","Golden State Warriors","1st round 7th pick 7th overall",7,1,7,"10/31/12","1 year",1,"5/30/92",1992,21,"21y 0m 190d 18H 0M 0S","Ames","Iowa","USA","Ames, Iowa","Ames","Iowa","40","Signed July 3, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2013-2014","http://www.basketball-reference.com/players/b/barneha02.html","12/7/13 15:54",-93.625622,42.02335,-93.625622,42.02335
"6","chalmma01","Almario Vernard Chalmers","@mchalmers15","Anchorage, Alaska","Point Guard","6'1",73,6,1,190,"Right","University of Kansas","Bartlett","Minnesota Timberwolves","2nd round 4th pick 34th overall",34,2,4,"10/29/08","5 years",5,"5/19/86",1986,27,"27y 0m 202d 6H 0M 0S","Anchorage","Alaska","USA","Anchorage, Alaska","Anchorage","Alaska","6;15","Signed December 9, 2011 for an assumed $12,000,000 for 3 years.  Team Option for 2013-14 was picked up on June 26, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2009-2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2011-2014","http://www.basketball-reference.com/players/c/chalmma01.html","12/7/13 15:54",-149.9002778,61.2180556,-149.9002778,61.2180556
"7","lenal01","Olexiy Len","","Antratsit, Ukraine","Center","7'1",85,7,1,255,"Right","University of Maryland","","Phoenix Suns","1st round 5th pick 5th overall",5,1,5,NA,"Rookie",0,"6/16/93",1993,20,"20y 0m 174d 0H 0M 0S","Antratsit","","Ukraine","","","","21","Signed August 29, 2013.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014","http://www.basketball-reference.com/players/l/lenal01.html","12/7/13 15:54",NA,NA,39.09,48.1191667
"8","boozeca01","Carlos Austin Boozer Jr.","@MisterCbooz","Aschaffenburg, Germany","Power Forward-Center","6'9",81,6,9,258,"Right","Duke University","Juneau-Douglas","Cleveland Cavaliers","2nd round 6th pick 34th overall",34,2,6,"10/29/02","11 years",11,"11/20/81",1981,32,"32y 0m 17d 0H 0M 0S","Aschaffenburg","","Germany","Juneau, Alaska","Juneau","Alaska","1;1;5;5","Signed July 8, 2010 for an assumed $75,000,000 for 5 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#0000ff;-Cleveland Cavaliers, 2003-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#8b7500;-Cleveland Cavaliers, 2004-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2005-2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-2014","http://www.basketball-reference.com/players/b/boozeca01.html","12/7/13 15:54",-134.4197222,58.3019444,9.1355554,49.9806625
"9","antetgi01","Giannis Antetokounmpo","","Athens, Greece","Small Forward","6'9",81,6,9,210,"Right","","","Milwaukee Bucks","1st round 15th pick 15th overall",15,1,15,NA,"Rookie",0,"12/6/94",1994,19,"19y 0m 1d 6H 0M 0S","Athens","","Greece","","","","34","Signed July 30, 2013.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014","http://www.basketball-reference.com/players/a/antetgi01.html","12/7/13 15:54",NA,NA,23.7293097,37.9837155
"10","aminual01","Al-Farouq Aminu","@farouq1","Atlanta, Georgia","Small Forward","6'9",81,6,9,215,"Right","Wake Forest University","Norcross","Los Angeles Clippers","1st round 8th pick 8th overall",8,1,8,"10/27/10","3 years",3,"9/21/90",1990,23,"23y 0m 77d 6H 0M 0S","Atlanta","Georgia","USA","Norcross, Georgia","Norcross","Georgia","3;0;0","Signed July 10, 2013 for an assumed $3,700,000 for 1 year.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014","http://www.basketball-reference.com/players/a/aminual01.html","12/7/13 15:54",-84.2135309,33.9412127,-84.3879824,33.7489954
