"","season","race","sport","major","count"
"1","2013","African-American","Football","communication",13
"2","2011","African-American","Football","communication",8
"3","2008","African-American","Football","sociology",7
"4","2007","African-American","Football","sociology",6
"5","2009","African-American","Football","sociology",6
"6","2009","African-American","Football","multidisciplinary studies",6
"7","2011","African-American","Football","multidisciplinary studies",6
"8","2013","African-American","Football","multidisciplinary studies",5
"9","2013","Caucasian","Football","communication",4
"10","2010","African-American","Football","multidisciplinary studies",4
"11","2011","Caucasian","Football","multidisciplinary studies",4
"12","2013","African-American","Football","business management",4
"13","2013","African-American","Football","criminology",4
"14","2011","Caucasian","Football","sociology",3
"15","2011","Caucasian","Football","human relations",3
"16","2013","African-American","Football","human relations",3
"17","2011","African-American","Football","human relations",3
"18","2013","Caucasian","Football","business management",3
"19","2010","African-American","Football","sociology",2
"20","2008","Caucasian","Football","sociology",2
"21","2009","Caucasian","Football","sociology",2
"22","2011","African-American","Football","sociology",2
"23","2014","Caucasian","Mens Basketball","communication",2
"24","2012","African-American","Mens Basketball","multidisciplinary studies",2
"25","2013","African-American","Mens Basketball","multidisciplinary studies",2
"26","2008","Caucasian","Football","human relations",2
"27","2013","Caucasian","Football","human relations",2
"28","2010","African-American","Football","business management",2
"29","2008","African-American","Football","criminology",2
"30","2013","Caucasian","Football","criminology",2
"31","2009","Mixed-Race","Mens Basketball","exercise science",2
"32","2009","Caucasian","Football","planned program",2
"33","2013","African-American","Football","african-american studies",2
"34","2011","Caucasian","Football","energy management",2
"35","2013","African-American","Football","psychology",2
"36","2009","African-American","Mens Basketball","sociology",1
"37","2013","Caucasian","Football","sociology",1
"38","2010","Mixed-Race","Football","sociology",1
"39","2007","Hispanic","Football","sociology",1
"40","2007","Caucasian","Football","sociology",1
"41","2012","African-American","Mens Basketball","communication",1
"42","2010","African-American","Football","communication",1
"43","2007","African-American","Football","communication",1
"44","2009","African-American","Mens Basketball","communication",1
"45","2013","African-American","Mens Basketball","communication",1
"46","2010","African-American","Mens Basketball","communication",1
"47","2011","Caucasian","Football","communication",1
"48","2013","Caucasian","Mens Basketball","multidisciplinary studies",1
"49","2010","Caucasian","Football","multidisciplinary studies",1
"50","2013","Caucasian","Football","multidisciplinary studies",1
"51","2010","African-American","Mens Basketball","multidisciplinary studies",1
"52","2008","African-American","Football","human relations",1
"53","2011","Caucasian","Mens Basketball","human relations",1
"54","2014","African-American","Mens Basketball","human relations",1
"55","2009","African-American","Football","human relations",1
"56","2008","African-American","Mens Basketball","human relations",1
"57","2010","African-American","Football","human relations",1
"58","2013","Pacific Islander","Football","human relations",1
"59","2009","African-American","Mens Basketball","human relations",1
"60","2010","African-American","Mens Basketball","human relations",1
"61","2007","Caucasian","Football","business management",1
"62","2012","Caucasian","Mens Basketball","business management",1
"63","2014","African-American","Mens Basketball","business management",1
"64","2011","African-American","Football","business management",1
"65","2007","African-American","Football","business management",1
"66","2014","Caucasian","Mens Basketball","business management",1
"67","2008","African-American","Mens Basketball","business management",1
"68","2014","Caucasian","Mens Basketball","exercise science",1
"69","2011","African-American","Football","exercise science",1
"70","2013","African-American","Football","exercise science",1
"71","2013","Caucasian","Football","exercise science",1
"72","2010","Caucasian","Football","finance",1
"73","2013","African-American","Football","finance",1
"74","2011","Caucasian","Football","planned program",1
"75","2008","African-American","Football","planned program",1
"76","2013","African-American","Football","planned program",1
"77","2010","Caucasian","Mens Basketball","finance",1
"78","2009","Native American","Football","finance",1
"79","2013","Caucasian","Football","finance",1
"80","2013","Caucasian","Football","energy management",1
"81","2008","African-American","Football","african-american studies",1
"82","2013","African-American","Mens Basketball","international studies",1
"83","2008","African-American","Mens Basketball","journalism",1
"84","2014","Caucasian","Mens Basketball","journalism",1
"85","2010","African-American","Mens Basketball","international studies",1
"86","2013","African-American","Mens Basketball","administrative leadership",1
"87","2010","Caucasian","Mens Basketball","mechanical engineering",1
"88","2010","African-American","Football","economics",1
"89","2010","Caucasian","Football","social studies",1
"90","2014","Caucasian","Mens Basketball","biochemistry",1
"91","2013","African-American","Football","computer engineering ",1
"92","2014","African-American","Mens Basketball","art",1
"93","2013","African-American","Football","pre-pharmacy",1
"94","2013","African-American","Football","political science",1
"95","2007","Caucasian","Football","marketing",1
"96","2007","Caucasian","Football","film and video studies",1
"97","2010","African-American","Football","accounting",1
"98","2011","African-American","Football","pre-broadcasting",1
"99","2013","Caucasian","Football","petroleum engineering",1
"100","2012","African-American","Mens Basketball","information studies",1
"101","2014","Caucasian","Mens Basketball","sport psychology",1
