"","player","major","player_url","player_image_url","race","sport","final_status_year","major_label","count","color","season","height_inches","weight","position"
"1","Ahmad Thomas","undisclosed","http://www.soonersports.com/ViewArticle.dbml?SPSID=750326&SPID=127245&DB_LANG=C&DB_OEM_ID=31000&ATCLID=208870560&Q_SEASON=2013","http://image.cdnllnwnl.xosnetwork.com/pics33/200/AH/AHKHUYIIAGCSAQF.20130807191227.jpg","African-American","Football","FR","undisclosed",150,"#005C5C","2013",73,215,"DB"
"2","Allen Patrick","undisclosed","https://web.archive.org/web/20080104164038/http://www.soonersports.com/sports/m-footbl/mtt/patrick_allen00.html","http://graphics.fansonly.com/photos/schools/okla/sports/m-footbl/auto_headshot/1268313.jpeg","African-American","Football","SR","undisclosed",150,"#005C5C","2007",73,196,"RB"
"3","Ashton Bennett","undisclosed","http://www.soonersports.com/ViewArticle.dbml?SPSID=750326&SPID=127245&DB_LANG=C&DB_OEM_ID=31000&ATCLID=208872763&Q_SEASON=2013","http://image.cdnllnwnl.xosnetwork.com/pics33/200/GC/GCIDWHESIOURTGE.20130808162212.jpg","African-American","Football","FR.RS","undisclosed",150,"#005C5C","2013",70,160,"DB"
"4","Austin Bennett","undisclosed","http://www.soonersports.com/ViewArticle.dbml?SPSID=750326&SPID=127245&DB_LANG=C&DB_OEM_ID=31000&ATCLID=208870261&Q_SEASON=2013","http://image.cdnllnwnl.xosnetwork.com/pics33/200/MZ/MZLIQKOQYKVSAGA.20130808162126.jpg","African-American","Football","FR","undisclosed",150,"#005C5C","2013",73,163,"WR"
"5","Austin Brown","undisclosed","http://www.soonersports.com/ViewArticle.dbml?SPSID=750326&SPID=127245&DB_LANG=C&DB_OEM_ID=31000&ATCLID=208799139&Q_SEASON=2013","http://image.cdnllnwnl.xosnetwork.com/pics33/200/VG/VGIRFAJTAKBJGLK.20130808161731.jpg","Caucasian","Football","SO.RS","undisclosed",150,"#005C5C","2013",75,201,"WR"
"6","Austin Haywood","undisclosed","https://web.archive.org/web/20110106072238/http://www.soonersports.com/sports/m-footbl/mtt/haywood_austin00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/5634416.jpeg","African-American","Football","FR","undisclosed",150,"#005C5C","2010",75,237,"TE/HB"
"7","Ben Hampton","undisclosed","https://web.archive.org/web/20100102030111/http://soonersports.com/sports/m-footbl/mtt/hampton_ben00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/3434652.jpeg","Caucasian","Football","SR","undisclosed",150,"#005C5C","2009",75,237,"DS"
"8","Ben Sherrard","undisclosed","https://web.archive.org/web/20120104171845/http://www.soonersports.com/sports/m-footbl/mtt/sherrard_ben00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/6843607.jpeg","Caucasian","Football","JR","undisclosed",150,"#005C5C","2011",76,228,"QB"
"9","Bennett Okotcha","undisclosed","https://web.archive.org/web/20120104171845/http://www.soonersports.com/sports/m-footbl/mtt/okotcha_bennett00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/6843322.jpeg","African-American","Football","FR","undisclosed",150,"#005C5C","2011",71,168,"DB"
"10","Billy Batchelear","undisclosed","https://web.archive.org/web/20100102030111/http://soonersports.com/sports/m-footbl/mtt/batchelear_billy00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/3434557.jpeg","Caucasian","Football","JR","undisclosed",150,"#005C5C","2009",75,230,"DE"
"11","Billy Batchlear","undisclosed","https://web.archive.org/web/20110106072238/http://www.soonersports.com/sports/m-footbl/mtt/batchlear_billy00.html","http://grfx.cstv.com/photos/schools/okla/sports/m-footbl/auto_headshot/5634332.jpeg","Caucasian","Football","SR","undisclosed",150,"#005C5C","2010",73,227,"DE"
