"","sport","season","major","count"
"1","Football","2007","business management",2
"2","Football","2007","communication",1
"3","Football","2007","film and video studies",1
"4","Football","2007","marketing",1
"5","Football","2007","sociology",8
"6","Football","2007","undecided",1
"7","Football","2007","undisclosed",23
"8","Football","2008","african-american studies",1
"9","Football","2008","criminology",2
"10","Football","2008","human relations",3
"11","Football","2008","planned program",1
"12","Football","2008","sociology",9
"13","Football","2008","undecided",4
"14","Football","2008","undisclosed",17
"15","Football","2009","finance",1
"16","Football","2009","human relations",1
"17","Football","2009","multidisciplinary studies",6
"18","Football","2009","planned program",2
"19","Football","2009","sociology",8
"20","Football","2009","undecided",2
"21","Football","2009","undisclosed",14
"22","Football","2010","accounting",1
"23","Football","2010","business management",2
"24","Football","2010","communication",1
"25","Football","2010","economics",1
"26","Football","2010","finance",1
"27","Football","2010","human relations",1
"28","Football","2010","multidisciplinary studies",5
"29","Football","2010","social studies",1
"30","Football","2010","sociology",3
"31","Football","2010","undecided",3
"32","Football","2010","undisclosed",15
"33","Football","2011","business management",1
"34","Football","2011","communication",9
"35","Football","2011","energy management",2
"36","Football","2011","exercise science",1
"37","Football","2011","human relations",6
"38","Football","2011","multidisciplinary studies",10
"39","Football","2011","planned program",1
"40","Football","2011","pre-broadcasting",1
"41","Football","2011","sociology",5
"42","Football","2011","undecided",4
"43","Football","2011","undisclosed",23
"44","Football","2012","undecided",4
"45","Football","2012","undisclosed",9
"46","Football","2013","african-american studies",2
"47","Football","2013","business management",7
"48","Football","2013","communication",17
"49","Football","2013","computer engineering ",1
"50","Football","2013","criminology",6
"51","Football","2013","energy management",1
"52","Football","2013","exercise science",2
"53","Football","2013","finance",2
"54","Football","2013","human relations",6
"55","Football","2013","multidisciplinary studies",6
"56","Football","2013","petroleum engineering",1
"57","Football","2013","planned program",1
"58","Football","2013","political science",1
"59","Football","2013","pre-pharmacy",1
"60","Football","2013","psychology",2
"61","Football","2013","sociology",1
"62","Football","2013","undecided",1
"63","Football","2013","undisclosed",46
"64","Mens Basketball","2008","business management",1
"65","Mens Basketball","2008","human relations",1
"66","Mens Basketball","2008","journalism",1
"67","Mens Basketball","2008","undecided",1
"68","Mens Basketball","2008","undisclosed",1
"69","Mens Basketball","2009","communication",1
"70","Mens Basketball","2009","exercise science",2
"71","Mens Basketball","2009","human relations",1
"72","Mens Basketball","2009","sociology",1
"73","Mens Basketball","2009","undecided",1
"74","Mens Basketball","2010","communication",1
"75","Mens Basketball","2010","finance",1
"76","Mens Basketball","2010","human relations",1
"77","Mens Basketball","2010","international studies",1
"78","Mens Basketball","2010","mechanical engineering",1
"79","Mens Basketball","2010","multidisciplinary studies",1
"80","Mens Basketball","2010","undecided",3
"81","Mens Basketball","2011","human relations",1
"82","Mens Basketball","2011","undecided",3
"83","Mens Basketball","2012","business management",1
"84","Mens Basketball","2012","communication",1
"85","Mens Basketball","2012","information studies",1
"86","Mens Basketball","2012","multidisciplinary studies",2
"87","Mens Basketball","2013","administrative leadership",1
"88","Mens Basketball","2013","communication",1
"89","Mens Basketball","2013","international studies",1
"90","Mens Basketball","2013","multidisciplinary studies",3
"91","Mens Basketball","2013","undecided",1
"92","Mens Basketball","2014","art",1
"93","Mens Basketball","2014","biochemistry",1
"94","Mens Basketball","2014","business management",2
"95","Mens Basketball","2014","communication",2
"96","Mens Basketball","2014","exercise science",1
"97","Mens Basketball","2014","human relations",1
"98","Mens Basketball","2014","journalism",1
"99","Mens Basketball","2014","sport psychology",1
"100","Mens Basketball","2014","undecided",2
"101","Mens Basketball","2014","undisclosed",2
