"","label","fillColor","player","birthdate","hometown","latitude","longitude","iframe_url","years","mpg","ppg","fg","rpg","apg","pt3","ft","popup"
"1","a","#000000","Bob Pettit","12-Dec-32","Baton Rouge, LA, USA",30.4582829,-91.1253196,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Pettit+NBA",11,38.8,26.4,43.6,16.2,3,NA,76.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bob Pettit</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob Pettit+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Baton Rouge, LA, USA<br>Years: 11<br>PPG: 26.4<br>MPG: 38.8<br>FG: 43.6<br>APG: 3<br>RPG: 16.2<br>3PT Percentage: NA<br>FT Percentage: 76.1</td></tr></table>"
"2","a","#000000","Kevin Durant","29-Sep-88","Washington, DC, USA",38.9072309,-76.9834641,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kevin Durant+NBA",6,38.2,26.6,47.5,6.8,3.1,37.3,88.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kevin Durant</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kevin Durant+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Washington, DC, USA<br>Years: 6<br>PPG: 26.6<br>MPG: 38.2<br>FG: 47.5<br>APG: 3.1<br>RPG: 6.8<br>3PT Percentage: 37.3<br>FT Percentage: 88.4</td></tr></table>"
"3","a","#000000","LeBron James","30-Dec-84","Akron, OH, USA",41.0814447,-81.5130053,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=LeBron James+NBA",10,39.7,27.6,49,7.3,6.9,33.7,74.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>LeBron James</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=LeBron James+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Akron, OH, USA<br>Years: 10<br>PPG: 27.6<br>MPG: 39.7<br>FG: 49<br>APG: 6.9<br>RPG: 7.3<br>3PT Percentage: 33.7<br>FT Percentage: 74.7</td></tr></table>"
"4","a","#000000","Allen Iverson","7-Jun-75","Hampton, VA, USA",37.0298687,-76.3352218,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Allen Iverson+NBA",14,41.1,26.7,42.5,3.7,6.2,31.3,78,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Allen Iverson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Allen Iverson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Hampton, VA, USA<br>Years: 14<br>PPG: 26.7<br>MPG: 41.1<br>FG: 42.5<br>APG: 6.2<br>RPG: 3.7<br>3PT Percentage: 31.3<br>FT Percentage: 78</td></tr></table>"
"5","a","#000000","Jerry West","28-May-38","Chelyan, WV, USA",38.195381,-81.4909497,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jerry West+NBA",14,39.2,27,47.4,5.8,6.7,NA,81.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Jerry West</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Jerry West+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Chelyan, WV, USA<br>Years: 14<br>PPG: 27<br>MPG: 39.2<br>FG: 47.4<br>APG: 6.7<br>RPG: 5.8<br>3PT Percentage: NA<br>FT Percentage: 81.4</td></tr></table>"
"6","a","#000000","Wilt Chamberlain","21-Aug-36","Philadelphia, PA, USA",39.952335,-75.152789,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Wilt Chamberlain+NBA",14,45.8,30.1,54,22.9,4.4,NA,51.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Wilt Chamberlain</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Wilt Chamberlain+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Philadelphia, PA, USA<br>Years: 14<br>PPG: 30.1<br>MPG: 45.8<br>FG: 54<br>APG: 4.4<br>RPG: 22.9<br>3PT Percentage: NA<br>FT Percentage: 51.1</td></tr></table>"
"7","a","#000000","Michael Jordan","17-Feb-63","Brooklyn, NY, USA",40.65,-73.901,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Michael Jordan+NBA",15,38.3,30.1,49.7,6.2,5.3,32.7,83.5,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Michael Jordan</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Michael Jordan+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Brooklyn, NY, USA<br>Years: 15<br>PPG: 30.1<br>MPG: 38.3<br>FG: 49.7<br>APG: 5.3<br>RPG: 6.2<br>3PT Percentage: 32.7<br>FT Percentage: 83.5</td></tr></table>"
"8","a","#000000","Elgin Baylor","16-Sep-34","Washington, DC, USA",38.9072309,-76.9724641,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Elgin Baylor+NBA",14,40,27.4,43.1,13.5,4.3,NA,78,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Elgin Baylor</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Elgin Baylor+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Washington, DC, USA<br>Years: 14<br>PPG: 27.4<br>MPG: 40<br>FG: 43.1<br>APG: 4.3<br>RPG: 13.5<br>3PT Percentage: NA<br>FT Percentage: 78</td></tr></table>"
"9","b","#0000bf","Paul Arizin","9-Apr-28","Philadelphia, PA, USA",39.952335,-75.126289,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Paul Arizin+NBA",10,38.4,22.8,42.1,8.6,2.3,NA,81,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Paul Arizin</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Paul Arizin+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Philadelphia, PA, USA<br>Years: 10<br>PPG: 22.8<br>MPG: 38.4<br>FG: 42.1<br>APG: 2.3<br>RPG: 8.6<br>3PT Percentage: NA<br>FT Percentage: 81</td></tr></table>"
"10","b","#0000bf","Dan Issel","25-Oct-48","Batavia, IL, USA",41.8500284,-88.3125738,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dan Issel+NBA",15,34.3,22.6,49.9,9.1,2.4,20.4,79.3,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dan Issel</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dan Issel+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Batavia, IL, USA<br>Years: 15<br>PPG: 22.6<br>MPG: 34.3<br>FG: 49.9<br>APG: 2.4<br>RPG: 9.1<br>3PT Percentage: 20.4<br>FT Percentage: 79.3</td></tr></table>"
