"","player","season","team","games","salary","inflation_adjusted_salary","war","new_contract_source","contract_term","contract_start_season","contract_end_season","year_into_contract","contract_completion_percentage","position"
"8177","Reggie Jackson",1976,"New York Yankees",134,0.2,0.82,5.3,"free agency",5,1977,1982,0,0,"Rightfielder"
"8198","Reggie Jackson",1977,"New York Yankees",146,0.525,2.022,4.5,"free agency",5,1977,1982,1,0.2,"Rightfielder"
"8319","Rick Dempsey",1977,"Baltimore Orioles",91,0.04,0.154,1.3,"re-signinging",5,1978,1983,0,0,"Catcher"
"9069","Terry Forster",1977,"Los Angeles Dodgers",33,0.05,0.193,-0.2,"free agency",5,1978,1983,0,0,"Pitcher"
"8240","Reggie Jackson",1978,"New York Yankees",139,0.525,1.879,3.5,"free agency",5,1977,1982,2,0.4,"Rightfielder"
"8413","Rod Carew",1978,"California Angels",152,0.2,0.716,4.9,"re-signinging",5,1979,1984,0,0,"First Baseman, Second Baseman"
"9049","Terry Forster",1978,"Los Angeles Dodgers",47,0.17,0.608,1.6,"free agency",5,1978,1983,1,0.2,"Pitcher"
"2922","Craig Swan",1979,"New York Mets",35,0.09,0.289,4.6,"free agency",5,1980,1985,0,0,"Pitcher"
"5840","John Stearns",1979,"New York Mets",155,0.3,0.965,1.4,"free agency",5,1979,1984,1,0.2,"Catcher, First Baseman, Third Baseman"
"8261","Reggie Jackson",1979,"New York Yankees",131,0.525,1.689,3.5,"free agency",5,1977,1982,3,0.6,"Rightfielder"
"8428","Rod Carew",1979,"California Angels",110,0.8,2.573,2.6,"re-signinging",5,1979,1984,1,0.2,"First Baseman, Second Baseman"
"9089","Terry Forster",1979,"Los Angeles Dodgers",17,0.17,0.547,-0.4,"free agency",5,1978,1983,2,0.4,"Pitcher"
"591","Al Hrabosky",1980,"Atlanta Braves",45,0.44,1.247,0.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"2930","Craig Swan",1980,"New York Mets",21,0.56,1.587,1.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"3894","Don Stanhouse",1980,"Los Angeles Dodgers",21,0.42,1.19,-0.7,"free agency",5,1980,1985,1,0.2,"Pitcher"
"3920","Doug Flynn",1980,"New York Mets",128,0.14,0.397,1,"free agency",5,1981,1986,0,0,"Second Baseman, Shortstop, Third Baseman"
"5792","John Curtis",1980,"San Diego Padres",30,0.415,1.176,1.1,"free agency",5,1980,1985,1,0.2,"Pitcher"
"8282","Reggie Jackson",1980,"New York Yankees",143,0.525,1.487,4.8,"free agency",5,1977,1982,4,0.8,"Rightfielder"
"8338","Rick Wise",1980,"San Diego Padres",27,0.35,0.992,1.2,"free agency",5,1980,1985,1,0.2,"Pitcher"
"8398","Rod Carew",1980,"California Angels",144,0.8,2.267,3.4,"re-signinging",5,1979,1984,2,0.4,"First Baseman, Second Baseman"
"9059","Terry Forster",1980,"Los Angeles Dodgers",9,0.17,0.482,0.1,"free agency",5,1978,1983,3,0.6,"Pitcher"
"603","Al Hrabosky",1981,"Atlanta Braves",24,0.44,1.13,1.2,"free agency",5,1980,1985,2,0.4,"Pitcher"
"2938","Craig Swan",1981,"New York Mets",5,0.56,1.438,0.1,"free agency",5,1980,1985,2,0.4,"Pitcher"
"3237","Dave Roberts",1981,"Houston Astros",27,0.26,0.668,-0.1,"free agency",5,1981,1986,1,0.2,"Third Baseman, Catcher, Second Baseman"
"3247","Dave Winfield",1981,"New York Yankees",105,1.3,3.338,2.6,"free agency",10,1981,1991,1,0.1,"Rightfielder"
"3910","Doug Flynn",1981,"New York Mets",105,0.17,0.437,-0.3,"free agency",5,1981,1986,1,0.2,"Second Baseman, Shortstop, Third Baseman"
"5780","John Curtis",1981,"San Diego Padres",28,0.34,0.873,-0.8,"free agency",5,1980,1985,2,0.4,"Pitcher"
"5846","John Stearns",1981,"New York Mets",80,0.4,1.027,1.9,"free agency",5,1979,1984,3,0.6,"Catcher, First Baseman, Third Baseman"
"7488","Mike Schmidt",1981,"Philadelphia Phillies",102,0.56,1.438,7.7,"re-signinging",6,1982,1988,0,0,"Third Baseman, First Baseman"
"8219","Reggie Jackson",1981,"New York Yankees",94,0.588,1.51,1,"free agency",5,1977,1982,5,1,"Rightfielder"
"8346","Rick Wise",1981,"San Diego Padres",18,0.4,1.027,0.5,"free agency",5,1980,1985,2,0.4,"Pitcher"
"8458","Rod Carew",1981,"California Angels",93,0.8,2.054,3,"re-signinging",5,1979,1984,3,0.6,"First Baseman, Second Baseman"
"9099","Terry Forster",1981,"Los Angeles Dodgers",21,0.17,0.437,0,"free agency",5,1978,1983,4,0.8,"Pitcher"
