"","country","year_code","athletes","total_medals","gold_medals","silver_medals","bronze_medals","rgb_color","image_url","detail","date","pos_date"
"22","USSR",1956,30,21,10,5,6,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1956<br>Total Medals: 21<br>Gold Medals: 10<br>Silver Medals: 5<br>Bronze Medals: 6<br>Athletes: 30</td></tr></table>",1956-02-10,-438393600000
"23","USSR",1960,35,26,7,7,12,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1960<br>Total Medals: 26<br>Gold Medals: 7<br>Silver Medals: 7<br>Bronze Medals: 12<br>Athletes: 35</td></tr></table>",1960-02-10,-312163200000
"24","USSR",1964,38,31,14,8,9,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1964<br>Total Medals: 31<br>Gold Medals: 14<br>Silver Medals: 8<br>Bronze Medals: 9<br>Athletes: 38</td></tr></table>",1964-02-10,-185932800000
"25","USSR",1968,32,20,9,6,5,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1968<br>Total Medals: 20<br>Gold Medals: 9<br>Silver Medals: 6<br>Bronze Medals: 5<br>Athletes: 32</td></tr></table>",1968-02-10,-59702400000
"26","USSR",1972,39,26,17,6,3,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1972<br>Total Medals: 26<br>Gold Medals: 17<br>Silver Medals: 6<br>Bronze Medals: 3<br>Athletes: 39</td></tr></table>",1972-02-10,6.6528e+10
"27","USSR",1976,42,39,21,7,11,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1976<br>Total Medals: 39<br>Gold Medals: 21<br>Silver Medals: 7<br>Bronze Medals: 11<br>Athletes: 42</td></tr></table>",1976-02-10,192758400000
"28","USSR",1980,46,35,18,10,7,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1980<br>Total Medals: 35<br>Gold Medals: 18<br>Silver Medals: 10<br>Bronze Medals: 7<br>Athletes: 46</td></tr></table>",1980-02-10,318988800000
"29","USSR",1984,50,37,10,15,12,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1984<br>Total Medals: 37<br>Gold Medals: 10<br>Silver Medals: 15<br>Bronze Medals: 12<br>Athletes: 50</td></tr></table>",1984-02-10,445219200000
"30","USSR",1988,52,46,20,14,12,"rgb(193,0,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>USSR</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png' height='125' width='100'></td><td align='left'>Year: 1988<br>Total Medals: 46<br>Gold Medals: 20<br>Silver Medals: 14<br>Bronze Medals: 12<br>Athletes: 52</td></tr></table>",1988-02-10,571449600000
"1","Belarus",1994,2,2,0,2,0,"rgb(58, 154, 66)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Belarus</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 2<br>Gold Medals: 0<br>Silver Medals: 2<br>Bronze Medals: 0<br>Athletes: 2</td></tr></table>",1994-02-10,760838400000
"11","Kazakhstan",1994,1,3,1,2,0,"rgb(0,159,191)","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kazakhstan</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 3<br>Gold Medals: 1<br>Silver Medals: 2<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",1994-02-10,760838400000
"14","Russia",1994,28,36,19,13,4,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 36<br>Gold Medals: 19<br>Silver Medals: 13<br>Bronze Medals: 4<br>Athletes: 28</td></tr></table>",1994-02-10,760838400000
