"","decade","color","detail","lon","lat"
"1","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1966: Sunny Bippus in Norman Cay, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1964.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1966<br><b>Model(s):</b> Sunny Bippus<br><b>Location:</b> Norman Cay, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-76.8158718,24.6118035
"2","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1967: Marilyn Tindall in Scottsdale, Arizona</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1965.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1967<br><b>Model(s):</b> Marilyn Tindall<br><b>Location:</b> Scottsdale, Arizona<br><b>Bikini:</b> FALSE</td></tr></table>",-110.8863,33.51942
"3","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1969: Jamee Becker in Trujillo Alto, Puerto Rico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1966.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1969<br><b>Model(s):</b> Jamee Becker<br><b>Location:</b> Trujillo Alto, Puerto Rico<br><b>Bikini:</b> TRUE</td></tr></table>",-66.00489,18.34689
"4","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1968: Turia Mau in Leeward Islands, French Polynesia</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1967.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1968<br><b>Model(s):</b> Turia Mau<br><b>Location:</b> Leeward Islands, French Polynesia<br><b>Bikini:</b> TRUE</td></tr></table>",-151.452,-16.73725
"5","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1964: Babette March in Cozumel, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1968.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1964<br><b>Model(s):</b> Babette March<br><b>Location:</b> Cozumel, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-86.98,20.47
"6","1960s","#fff","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1965: Sue Peterson in Baja, California, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1969.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1965<br><b>Model(s):</b> Sue Peterson<br><b>Location:</b> Baja, California, Mexico<br><b>Bikini:</b> FALSE</td></tr></table>",-111.6661,26.04444
"7","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1971: Tannia Rubiano in Bayahibe , Dominican Republic</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1970.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1971<br><b>Model(s):</b> Tannia Rubiano<br><b>Location:</b> Bayahibe , Dominican Republic<br><b>Bikini:</b> TRUE</td></tr></table>",-68.75127,18.31891
"8","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1978: Maria Joao in Bahia, Brazil</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1971.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1978<br><b>Model(s):</b> Maria Joao<br><b>Location:</b> Bahia, Brazil<br><b>Bikini:</b> FALSE</td></tr></table>",-38.34191,-12.94507
"9","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1975: Cheryl Tiegs in Cancun, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1972.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1975<br><b>Model(s):</b> Cheryl Tiegs<br><b>Location:</b> Cancun, Mexico<br><b>Bikini:</b> TRUE</td></tr></table>",-86.81701,21.12955
"10","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1970: Cheryl Tiegs in Big Island, Hawaii</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1973.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1970<br><b>Model(s):</b> Cheryl Tiegs<br><b>Location:</b> Big Island, Hawaii<br><b>Bikini:</b> FALSE</td></tr></table>",-155.9969,20.70694
"11","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1972: Sheila Roscoe in Marina del Rey, California</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1974.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1972<br><b>Model(s):</b> Sheila Roscoe<br><b>Location:</b> Marina del Rey, California<br><b>Bikini:</b> FALSE</td></tr></table>",-118.4517449,33.9802893
"12","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1974: Ann Simonton in Palmas del Mar, Puerto Rico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1975.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1974<br><b>Model(s):</b> Ann Simonton<br><b>Location:</b> Palmas del Mar, Puerto Rico<br><b>Bikini:</b> TRUE</td></tr></table>",-65.797939,18.0819088
"13","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1976: Yvette & Yvonne Sylvander in Cabo San Lucas, Mexico</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1976.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1976<br><b>Model(s):</b> Yvette & Yvonne Sylvander<br><b>Location:</b> Cabo San Lucas, Mexico<br><b>Bikini:</b> TRUE,FALSE</td></tr></table>",-109.9167,22.89053
"14","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1973: Dayle Haddon in Great Exuma, Bahamas</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1977.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1973<br><b>Model(s):</b> Dayle Haddon<br><b>Location:</b> Great Exuma, Bahamas<br><b>Bikini:</b> TRUE</td></tr></table>",-75.833333,23.533333
"15","1970s","#8FC6EC","<table cellpadding='3' style='line-height:1.25'><tr><b><th colspan='5'>1977: Lena Kansbod in Maui, Hawaii</b></th></tr><tr><td><img src='http://aragorn.org/visualization/si/swimsuit/photos/1978.jpg' height='250' width='200'></td><td align='left'><b>Year:</b> 1977<br><b>Model(s):</b> Lena Kansbod<br><b>Location:</b> Maui, Hawaii<br><b>Bikini:</b> FALSE</td></tr></table>",-156.13,20.84
