player,agency,agent,season,salary,salary_amnesty,,player
Arinze Onuaku,Assist Sports,Eric Fleisher,2013-2014,,FALSE,,
Aron Baynes,Entersport,Marc Fleisher,2013-2014,,FALSE,,
Chris Johnson,Assist Sports,Eric Fleisher,2013-2014,,FALSE,,
Chris Smith,Creative Artists Agency,Leon Rose,2013-2014,,FALSE,,
Darius Miller,The Neustadt Group,Doug Neustadt,2013-2014,,FALSE,,
Dewayne Dedmon,Athlete Management,Michael Silverman,2013-2014,,FALSE,,
Donte Greene,Blackwave Media Group,Bill Strickland,2013-2014,,FALSE,,
Erik Murphy,ASM Sports,Andy Miller,2013-2014,,FALSE,,
Gal Mekel,Exclusive Sports Group,Sam Porter,2013-2014,,FALSE,,
Hasheem Thabeet,BDA Sports Management,Ugo Udezue,2013-2014,,FALSE,,
Ian Clark,BDA Sports Management,David Mondress,2013-2014,,FALSE,,
Ish Smith,IAM Sports,Raymond Brothers,2013-2014,,FALSE,,
Jameer Nelson,Cornerstone Management,Steve Mountain,2013-2014,,FALSE,,
Jeff Pendergraph,Impact Sports Basketball,Mitch Frankel,2013-2014,,FALSE,,
Jerel McNeal,The Neustadt Group,Doug Neustadt,2013-2014,,FALSE,,
John Lucas III,Lee Basketball Services LTD,Bernie Lee,2013-2014,,FALSE,,
Josh Akognon,Rize Management,Scott Nichols,2013-2014,,FALSE,,
Justin Hamilton,ASM Sports,J.R. Hensley,2013-2014,,FALSE,,
Kalin Lucas,Reid Entertainment,Michael Whitaker,2013-2014,,FALSE,,
Keith Bogans,Relativity Sports,Dan Fegan,2013-2014,,FALSE,,
Kyle O'Quinn,EBSA Sports,Alberto Ebanks,2013-2014,,FALSE,,
Lance Stephenson,EBSA Sports,Alberto Ebanks,2013-2014,,FALSE,,
Lou Williams,Creative Artists Agency,Leon Rose,2013-2014,,FALSE,,
Luigi Datome,Side by Side,Stefano Meller,2013-2014,,FALSE,,
Marcus Camby,Independent,Richard Kaplan,2013-2014,,FALSE,,
Matthew Dellavedova,BDA Sports Management,Bill Duffy,2013-2014,,FALSE,,
Miroslav Raduljica,Norton Sports Management,Matt Babcock,2013-2014,,FALSE,,
P.J. Tucker,Arete Sports Agency,Andre Buck,2013-2014,,FALSE,,
Patrick Beverley,BDA Sports Management,Kevin Bradbury,2013-2014,,FALSE,,
Quincy Miller,Envision Sports Agency,Dwon Clifton,2013-2014,,FALSE,,
Reggie Williams,Interperformances,Ronald Shade,2013-2014,,FALSE,,
Tim Ohlbrecht,OTG Entertainment,Tyler Glass,2013-2014,,FALSE,,
Trey Burke,Infinite Sports Concepts,Benji Burke,2013-2014,,FALSE,,
Tyler Honeycutt,Rival Sports Group,Tony Dutt,2013-2014,,FALSE,,
Viacheslav Kravtsov,Excel Sports Management,Misko Raznatovic,2013-2014,,FALSE,,
Victor Claver,Wasserman Media Group,Arn Tellem,2013-2014,,FALSE,,
Victor Faverani,Interperformances,Herb Rudoy,2013-2014,,FALSE,,
Willie Green,Goodwin Management Group,Noah Croom,2013-2014,,FALSE,,
Willie Reed,Bell Management,Joel Bell,2013-2014,,FALSE,,
Draymond Green,Interperformances,Ronald Shade,2013-2014,,FALSE,,
Dirk Nowitzki,Independent,Holger Geschwinder,2013-2014,,FALSE,,
Danny Green,BDA Sports Management,Bill Duffy,2013-2014,,FALSE,,
C.J. Miles,Independent,Billy Ceisler,2013-2014,,FALSE,,
Andrei Kirilenko,Entersport,Marc Fleisher,2013-2014,,FALSE,,
Alex Len,Zucker International,Guy Zucker,2013-2014,,FALSE,,
Ben McLemore,Rival Sports Group,Tony Dutt,2013-2014,,FALSE,,
Aaron Brooks,Creative Artists Agency,Leon Rose,2013-2014,1027424,FALSE,,
Aaron Gray,ASM Sports,Andy Miller,2013-2014,2612500,FALSE,,
Adonis Thomas,Relativity Sports,Happy Walters,2013-2014,490180,FALSE,,
Al Harrington,Relativity Sports,Dan Fegan,2013-2014,7148600,FALSE,,
Al Horford,Wasserman Media Group,Arn Tellem,2013-2014,12000000,FALSE,,
Al Jefferson,Excel Sports Management,Jeff Schwartz,2013-2014,13500000,FALSE,,
Al-Farouq Aminu,IAM Sports,Raymond Brothers,2013-2014,3700000,FALSE,,
Alan Anderson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,947907,FALSE,,
Alec Burks,ASM Sports,Andy Miller,2013-2014,2323200,FALSE,,
Aleksandar Pavlovic,Relativity Sports,Dan Fegan,2013-2014,1399507,FALSE,,
Alexey Shved,Alti Sport,Obrad Fimic,2013-2014,3066667,FALSE,,
Allen Crabbe,Excel Sports Management,Sam Goldfeder,2013-2014,825000,FALSE,,
Alonzo Gee,Relativity Sports,Happy Walters,2013-2014,3250000,FALSE,,
Amare Stoudemire,Relativity Sports,Dan Fegan,2013-2014,21679893,FALSE,,
Amir Johnson,BDA Sports Management,Kevin Bradbury,2013-2014,6500000,FALSE,,
Anderson Varejao,Relativity Sports,Dan Fegan,2013-2014,9100000,FALSE,,
Andray Blatche,ASM Sports,Andy Miller,2013-2014,7794921,TRUE,,
Andray Blatche,ASM Sports,Andy Miller,2013-2014,1375604,FALSE,,
Andre Drummond,Landmark Sports Agency,Rob Pelinka,2013-2014,2462400,FALSE,,
Andre Iguodala,Landmark Sports Agency,Rob Pelinka,2013-2014,12868632,FALSE,,
Andre Miller,ASM Sports,Andy Miller,2013-2014,5000000,FALSE,,
