player,agency,agent,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Aaron Brooks,Creative Artists Agency,Leon Rose,"$1,027,424 ",$0 ,$0 ,$0 ,$0 
Aaron Gray,ASM Sports,Andy Miller,"$2,612,500 ",$0 ,$0 ,$0 ,$0 
Adonis Thomas,Relativity Sports,Happy Walters,"$490,180 ",$0 ,$0 ,$0 ,$0 
Al Harrington,Relativity Sports,Dan Fegan,"$7,148,600 ","$7,609,800 ",$0 ,$0 ,$0 
Al Horford,Wasserman Media Group,Arn Tellem,"$12,000,000 ","$12,000,000 ","$12,000,000 ",$0 ,$0 
Al Jefferson,Excel Sports Management,Jeff Schwartz,"$13,500,000 ","$13,500,000 ","$13,500,000 ",$0 ,$0 
Al-Farouq Aminu,IAM Sports,Raymond Brothers,"$3,700,000 ",$0 ,$0 ,$0 ,$0 
Alan Anderson,Priority Sports & Entertainment,Mark Bartelstein,"$947,907 ",$0 ,$0 ,$0 ,$0 
Alec Burks,ASM Sports,Andy Miller,"$2,323,200 ","$3,201,369 ","$4,405,083 ",$0 ,$0 
Aleksandar Pavlovic,Relativity Sports,Dan Fegan,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Alexey Shved,Alti Sport,Obrad Fimic,"$3,066,667 ","$3,198,723 ","$3,998,408 ",$0 ,$0 
Allen Crabbe,Excel Sports Management,Sam Goldfeder,"$825,000 ","$862,000 ","$947,276 ",$0 ,$0 
Alonzo Gee,Relativity Sports,Happy Walters,"$3,250,000 ","$3,250,000 ",$0 ,$0 ,$0 
Amare Stoudemire,Relativity Sports,Dan Fegan,"$21,679,893 ","$23,410,988 ",$0 ,$0 ,$0 
Amir Johnson,BDA Sports Management,Kevin Bradbury,"$6,500,000 ","$7,000,000 ",$0 ,$0 ,$0 
Anderson Varejao,Relativity Sports,Dan Fegan,"$9,100,000 ","$9,800,000 ",$0 ,$0 ,$0 
Andray Blatche,ASM Sports,Andy Miller,"$7,794,921*","$8,471,339*",$0 ,$0 ,$0 
Andray Blatche,ASM Sports,Andy Miller,"$1,375,604 ","$1,437,506 ",$0 ,$0 ,$0 
Andre Drummond,Landmark Sports Agency,Rob Pelinka,"$2,462,400 ","$2,568,360 ","$3,272,090 ","$4,433,682 ",$0 
Andre Iguodala,Landmark Sports Agency,Rob Pelinka,"$12,868,632 ","$12,289,544 ","$11,710,456 ","$11,131,368 ",$0 
Andre Miller,ASM Sports,Andy Miller,"$5,000,000 ","$4,625,000 ",$0 ,$0 ,$0 
Andre Roberson,BDA Sports Management,Bill Duffy,"$740,560 ","$773,920 ","$807,200 ","$1,455,381 ","$2,148,142 "
Andrea Bargnani,Creative Artists Agency,Leon Rose,"$11,000,000 ","$12,000,000 ",$0 ,$0 ,$0 
Andrew Bogut,Lagardere Unlimited,David Bauman,"$14,200,000 ",$0 ,$0 ,$0 ,$0 
Andrew Bynum,David Lee Services,David Lee,TBD,TBD,TBD,TBD,TBD
Andrew Nicholson,Priority Sports & Entertainment,Mark Bartelstein,"$1,482,000 ","$1,545,840 ","$2,380,593 ","$3,394,725 ",$0 
Andris Biedrins,BDA Sports Management,Bill Duffy,"$9,000,000 ",$0 ,$0 ,$0 ,$0 
Antawn Jamison,Wasserman Media Group,Arn Tellem,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Anthony Bennett,Excel Sports Management,Jeff Schwartz,"$5,324,280 ","$5,563,920 ","$5,803,560 ","$7,318,289 ","$9,513,775 "
Anthony Davis,Wasserman Media Group,Arn Tellem,"$5,375,760 ","$5,607,240 ","$7,070,729 ","$9,191,947 ",$0 
Anthony Morrow,Perennial,Wallace Prather,"$1,027,424 ","$1,145,685 ",$0 ,$0 ,$0 
Anthony Randolph,BDA Sports Management,Bill Duffy,"$1,750,000 ","$1,825,359 ",$0 ,$0 ,$0 
Anthony Tolliver,Lee Basketball Services LTD,Larry Fox,"$1,027,424 ",$0 ,$0 ,$0 ,$0 
Archie Goodwin,Briscoe Sports Management,Charlie Briscoe,"$1,064,400 ","$1,112,280 ","$1,160,160 ","$2,094,089 ","$3,141,133 "
Arnett Moultrie,The Alliance Management Group,Derek Lafayette,"$1,089,240 ","$1,136,160 ","$2,049,632 ","$3,039,604 ",$0 
Arron Afflalo,Excel Sports Management,Jeff Schwartz,"$7,562,500 ","$7,562,500 ","$7,750,000 ",$0 ,$0 
Austin Daye,Landmark Sports Agency,Rob Pelinka,"$947,907 ","$1,063,384 ",$0 ,$0 ,$0 
Austin Rivers,FAME,David Falk,"$2,339,040 ","$2,439,840 ","$3,110,796 ","$4,236,904 ",$0 
Avery Bradley,Lagardere Unlimited,Mitchell Butler,"$2,511,432 ","$3,581,302 ",$0 ,$0 ,$0 
B.J. Mullens,Wasserman Media Group,Arn Tellem,"$947,907 ","$1,063,384 ",$0 ,$0 ,$0 
B.J. Young,Briscoe Sports Management,Charlie Briscoe,"$490,180 ","$816,482 ","$947,276 ",$0 ,$0 
Ben Gordon,IAM Sports,Raymond Brothers,"$13,200,000 ",$0 ,$0 ,$0 ,$0 
Beno Udrih,Pinnacle Management Corporation,Marc Cornstein,"884,293",,,,
Bernard James,Relativity Sports,Dan Fegan,"$788,872 ",$0 ,$0 ,$0 ,$0 
Bismack Biyombo,Wasserman Media Group,Arn Tellem,"$3,217,680 ","$4,086,453 ","$5,479,933 ",$0 ,$0 
Blake Griffin,Excel Sports Management,Jeff Schwartz,"$16,402,500 ","$17,632,688 ","$18,862,876 ","$20,093,064 ","$21,323,252 "
Boris Diaw,The Neustadt Group,Doug Neustadt,"$4,702,500 ",$0 ,$0 ,$0 ,$0 
Bradley Beal,Priority Sports & Entertainment,Mark Bartelstein,"$4,319,280 ","$4,505,280 ","$5,694,673 ","$7,471,411 ",$0 
Brandan Wright,Williams & Connolly,Jim Tanner,"$5,000,000 ","$5,000,000 ",$0 ,$0 ,$0 
Brandon Bass,"Dutt Sports Services, Inc",Tony Dutt,"$6,750,000 ","$6,950,000 ",$0 ,$0 ,$0 
Brandon Davies,BDA Sports Management,Bill Duffy,"$490,180 ",816482,1147276,TBD,TBD
Brandon Jennings,Excel Sports Management,Jeff Schwartz,"$7,655,503 ","$8,000,000 ","$8,344,497 ",$0 ,$0 
Brandon Knight,Wasserman Media Group,Arn Tellem,"$2,947,800 ","$3,749,601 ","$5,054,462 ",$0 ,$0 
Brandon Roy,Wasserman Media Group,Arn Tellem,"$17,779,458*","$14,399,332*",$0 ,$0 ,$0 
Brandon Rush,Priority Sports & Entertainment,Mark Bartelstein,"$4,000,000 ",$0 ,$0 ,$0 ,$0 
Brendan Haywood,ASM Sports,Andy Miller,"$2,000,000 ","$2,000,000 ",$0 ,$0 ,$0 
Brendan Haywood,ASM Sports,Andy Miller,"$7,073,500*","$7,798,000*",$0 ,$0 ,$0 
Brian Roberts,ASM Sports,Andy Miller,"$788,872 ","$1,115,243 ",$0 ,$0 ,$0 
Brook Lopez,Wasserman Media Group,Arn Tellem,"$14,694,000 ","$15,719,000 ","$16,774,000 ",$0 ,$0 
C.J. Leslie,Creative Artists Agency,Aaron Mintz,TBD,TBD,TBD,TBD,TBD
C.J. McCollum,Excel Sports Management,Jeff Schwartz,"$2,316,720 ","$2,421,000 ","$2,525,160 ","$2,421,000 ","$2,316,720 "
C.J. Watson,Excel Sports Management,Jeff Schwartz,"$2,016,000 ","$2,077,000 ",$0 ,$0 ,$0 
Carl Landry,Priority Sports & Entertainment,Mark Bartelstein,"$6,750,000 ","$6,750,000 ","$6,750,000 ","$6,750,000 ",$0 
Carlos Boozer,Landmark Sports Agency,Rob Pelinka,"$15,300,000 ","$16,800,000 ",$0 ,$0 ,$0 
Carlos Delfino,ASM Sports,Andy Miller,"$3,250,000 ","$3,250,000 ","$3,250,000 ",$0 ,$0 
Carmelo Anthony,Creative Artists Agency,Leon Rose,"$21,490,000 ","$23,530,000 ",$0 ,$0 ,$0 
Caron Butler,IAM Sports,Raymond Brothers,"$8,000,000 ",$0 ,$0 ,$0 ,$0 
Carrick Felix,Stratosphere Sports,Todd Eley,TBD,TBD,TBD,TBD,TBD
Chandler Parsons,Relativity Sports,Dan Fegan,"$926,500 ","$964,750 ",$0 ,$0 ,$0 
Channing Frye,Landmark Sports Agency,Rob Pelinka,"$6,400,000 ","$6,800,000 ",$0 ,$0 ,$0 
Charlie Villanueva,Excel Sports Management,Jeff Schwartz,"$8,580,000 ",$0 ,$0 ,$0 ,$0 
Chase Budinger,BDA Sports Management,Kevin Bradbury,"$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 ,$0 
Chauncey Billups,ASM Sports,Andy Miller,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 
Chris Andersen,Creative Artists Agency,Steve Heumann,"$4,818,000*",$0 ,$0 ,$0 ,$0 
Chris Andersen,Creative Artists Agency,Steve Heumann,"$1,399,507 ","$1,399,507 ",,,
Chris Bosh,Creative Artists Agency,Henry Thomas,"$19,067,500 ","$20,590,000 ","$22,112,500 ",$0 ,$0 
Chris Copeland,540 Sports and Entertainment LLC,John Spencer,"$3,000,000 ","$3,130,000 ",$0 ,$0 ,$0 
Chris Duhon,BDA Sports Management,Kevin Bradbury,"$1,500,000 ",$0 ,$0 ,$0 ,$0 
Chris Kaman,Landmark Sports Agency,Rob Pelinka,"$3,183,000 ",$0 ,$0 ,$0 ,$0 
Chris Paul,Creative Artists Agency,Leon Rose,"$18,668,431 ","$20,068,563 ","$21,468,695 ","$22,868,827 ","$24,268,959 "
Chris Singleton,BDA Sports Management,Bill Duffy,"$1,707,720 ","$2,626,473 ","$3,726,965 ",$0 ,$0 
Chuck Hayes,BDA Sports Management,Bill Duffy,"$5,722,500 ","$5,958,750 ",$0 ,$0 ,$0 
Cody Zeller,Excel Sports Management,Jeff Schwartz,"$3,857,040 ","$4,030,560 ","$4,204,200 ","$5,318,313 ","$7,014,855 "
Cole Aldrich,Excel Sports Management,Jeff Schwartz,TBD,TBD,TBD,TBD,TBD
Corey Brewer,Relativity Sports,Dan Fegan,"$4,500,000 ","$4,702,500 ","$4,905,000 ",$0 ,$0 
Cory Joseph,Klutch Sports Management,Rich Paul,"$1,182,600 ","$2,134,593 ","$3,201,889 ",$0 ,$0 
Courtney Lee,Relativity Sports,Dan Fegan,"$5,225,000 ","$5,450,000 ","$5,675,000 ",$0 ,$0 
D.J. Augustin,IAM Sports,Raymond Brothers,"$1,267,000 ",$0 ,$0 ,$0 ,$0 
Damian Lillard,Goodwin Management Group,Aaron Goodwin,"$3,202,920 ","$3,340,920 ","$4,236,286 ","$5,651,205 ",$0 
Damien Wilkins,Perennial,Wallace Prather,"$1,272,279 ",$0 ,$0 ,$0 ,$0 
Daniel Orton,Vartanian Sports Management,Ara Vartanian,"$916,099 ","$981,084 ",$0 ,$0 ,$0 
Danilo Gallinari,Wasserman Media Group,Arn Tellem,"$10,146,925 ","$10,854,850 ","$11,559,225 ",$0 ,$0 
Danny Granger,Creative Artists Agency,Aaron Mintz,"$14,021,788 ",$0 ,$0 ,$0 ,$0 
Dante Cunningham,Bell Management,Joel Bell,"$2,180,000 ",$0 ,$0 ,$0 ,$0 
Darius Johnson-Odom,Octagon Athlete Representation,Chris Emens,"$788,872 ",$0 ,$0 ,$0 ,$0 
Darius Morris,Shibumi Sports,Brian Dyke,"$788,872 ",$0 ,$0 ,$0 ,$0 
Darrell Arthur,Independent,Jerry Hicks,"$3,231,683 ","$3,457,149 ",$0 ,$0 ,$0 
Darren Collison,BDA Sports Management,Rade Filipovich,"$1,900,000 ","$1,985,500 ",$0 ,$0 ,$0 
David Lee,Priority Sports & Entertainment,Mark Bartelstein,"$13,878,000 ","$15,012,000 ","$15,493,680 ",$0 ,$0 
David West,Octagon Athlete Representation,Jeff Austin,"$12,000,000 ","$12,000,000 ","$12,600,000 ",$0 ,$0 
DeAndre Jordan,Wasserman Media Group,Arn Tellem,"$10,986,550 ","$11,440,123 ",$0 ,$0 ,$0 
Dee Bost,540 Sports and Entertainment LLC,John Spencer,"$490,180 ","$816,482 ",$0 ,$0 ,$0 
DeJuan Blair,Relativity Sports,Dan Fegan,"$941,000 ",$0 ,$0 ,$0 ,$0 
DeMar DeRozan,Goodwin Management Group,Aaron Goodwin,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",$0 
DeMarcus Cousins,Relativity Sports,Dan Fegan,"$4,916,973 ","$6,519,198 ",$0 ,$0 ,$0 
DeMarre Carroll,Priority Sports & Entertainment,Mark Bartelstein,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 
Dennis Schroeder,Octagon Athlete Representation,Jeff Austin,"$1,617,840 ","$1,690,680 ","$1,763,400 ","$2,708,582 ","$3,824,518 "
Derek Fisher,Landmark Sports Agency,Rob Pelinka,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Deron Williams,Excel Sports Management,Jeff Schwartz,"$18,466,130 ","$19,754,465 ","$21,042,800 ","$22,331,135 ",$0 
Derrick Favors,Perennial,Wallace Prather,"$6,008,106 ","$7,882,663 ",$0 ,$0 ,$0 
Derrick Rose,Wasserman Media Group,Arn Tellem,"$17,632,688 ","$18,862,876 ","$20,093,064 ","$21,323,252 ",$0 
Derrick Williams,Landmark Sports Agency,Rob Pelinka,"$5,293,080 ","$6,679,866 ","$8,717,225 ",$0 ,$0 
DeShawn Stevenson,Wasserman Media Group,Arn Tellem,"$2,240,450 ",$0 ,$0 ,$0 ,$0 
Devin Ebanks,Lagardere Unlimited,David Bauman,TBD,TBD,TBD,TBD,TBD
Devin Harris,Excel Sports Management,Jeff Schwartz,"$1,272,279 ",$0 ,$0 ,$0 ,$0 
Diante Garrett,Wasserman Media Group,Arn Tellem,"$788,872 ",$0 ,$0 ,$0 ,$0 
Dion Waiters,Landmark Sports Agency,Rob Pelinka,"$3,894,240 ","$4,062,000 ","$5,138,430 ","$6,777,589 ",$0 
Dominic McGuire,Priority Sports & Entertainment,Mark Bartelstein,TBD,TBD,TBD,TBD,TBD
Donald Sloan,Impact Sports Basketball,Brian Elfus,"$884,293 ","$948,163 ",$0 ,$0 ,$0 
Donatas Motiejunas,Wasserman Media Group,Arn Tellem,"$1,422,720 ","$1,483,920 ","$2,288,204 ","$3,278,996 ",$0 
Dorell Wright,Wasserman Media Group,Arn Tellem,"$3,000,000 ","$3,145,000 ",$0 ,$0 ,$0 
Doron Lamb,Wasserman Media Group,Arn Tellem,"$788,872 ","$915,243 ",$0 ,$0 ,$0 
Drew Gooden,Relativity Sports,Dan Fegan,"$6,680,000*","$6,680,000*",$0 ,$0 ,$0 
Dwight Buycks,Relativity Sports,Chris Patrick,"$700,000 ","$816,482 ",$0 ,$0 ,$0 
Dwight Howard,Relativity Sports,Dan Fegan,"$20,513,178 ","$21,436,271 ","$22,359,364 ","$23,282,457 ",$0 
Dwyane Wade,Creative Artists Agency,Henry Thomas,"$18,536,000 ","$20,048,000 ","$21,560,000 ",$0 ,$0 
E'Twaun Moore,Priority Sports & Entertainment,Mark Bartelstein,"$884,293 ",$0 ,$0 ,$0 ,$0 
