agent,agent_hoopshype_url,agent_nationality,agency,agency_url
Arn Tellem,http://hoopshype.com/agents/arn_tellem.htm,American,Wasserman Media Group,www.wmgllc.com
Jeff Schwartz,http://hoopshype.com/agents/jeff_schwartz.htm,American,Excel Sports Management,www.excelsm.com
Dan Fegan,http://hoopshype.com/agents/dan_fegan.htm,American,Relativity Sports,www.relativitysports.com
Happy Walters,http://hoopshype.com/agents/happy_walters.htm,American,Relativity Sports,www.relativitysports.com
Rob Pelinka,http://hoopshype.com/agents/rob_pelinka.htm,American,Landmark Sports Agency,www.thelandmarksportsagency.com
Andy Miller,http://hoopshype.com/agents/andy_miller.htm,American,ASM Sports,www.asmsports.com
Leon Rose,http://hoopshype.com/agents/leon_rose.htm,American,Creative Artists Agency,sports.caa.com/home.aspx
Mark Bartelstein,http://hoopshype.com/agents/mark_bartelstein.htm,American,Priority Sports & Entertainment,www.prioritybasketball.biz
Bill Duffy,http://hoopshype.com/agents/bill_duffy.htm,American,BDA Sports Management,www.bdasports.com
Jeff Austin,http://hoopshype.com/agents/jeff_austin.htm,American,Octagon Athlete Representation,www.octagon.com
Jim Tanner,http://hoopshype.com/agents/jim_tanner.htm,American,Williams & Connolly,www.wc.com
BJ Armstrong,http://hoopshype.com/agents/bj_armstrong.htm,American,Wasserman Media Group,www.wmgllc.com
Sam Goldfeder,http://hoopshype.com/agents/sam_goldfeder.htm,American,Excel Sports Management,www.excelsm.com
Raymond Brothers,http://hoopshype.com/agents/raymond_brothers.htm,American,IAM Sports,www.iamsports-ent.com
Greg Lawrence,http://hoopshype.com/agents/greg_lawrence.htm,American,Wasserman Media Group,www.wmgllc.com
Thaddeus Foucher,http://hoopshype.com/agents/thaddeus_foucher.htm,American,Wasserman Media Group,www.wmgllc.com
David Falk,http://hoopshype.com/agents/david_falk.htm,American,FAME,
Henry Thomas,http://hoopshype.com/agents/henry_thomas.htm,American,Creative Artists Agency,sports.caa.com/home.aspx
Darren Matsubara,http://hoopshype.com/agents/darren_matsubara.htm,American,Wasserman Media Group,www.wmgllc.com
Tony Dutt,http://hoopshype.com/agents/tony_dutt.htm,American,"Dutt Sports Services, Inc",
Rich Paul,http://hoopshype.com/agents/rich_paul.htm,American,Klutch Sports Management,www.klutchgroup.com
Chris Emens,http://hoopshype.com/agents/chris_emens.htm,American,Octagon Athlete Representation,www.octagon.com
Travis King,http://hoopshype.com/agents/travis_king.htm,American,Relativity Sports,www.relativitysports.com
Danielle Cantor,http://hoopshype.com/agents/danielle_cantor.htm,American,FAME,
Aaron Mintz,http://hoopshype.com/agents/aaron_mintz.htm,American,Creative Artists Agency,sports.caa.com/home.aspx
Alex Saratsis,http://hoopshype.com/agents/alex_saratsis.htm,American,Octagon Athlete Representation,www.octagon.com
Wallace Prather,http://hoopshype.com/agents/wallace_prather.htm,American,Perennial,www.perennialse.com
Herb Rudoy,http://hoopshype.com/agents/herb_rudoy.htm,American,Interperformances,www.interperformances.com
Kevin Bradbury,http://hoopshype.com/agents/kevin_bradbury.htm,American,BDA Sports Management,www.bdasports.com
Steve Heumann,http://hoopshype.com/agents/steve_heumann.htm,American,Creative Artists Agency,sports.caa.com/home.aspx
Juan Perez,http://hoopshype.com/agents/juan_perez.htm,American,Roc Nation Sports,www.rocnation.com/sports/
Bouna Ndiaye,http://hoopshype.com/agents/bouna_ndiaye.htm,French,Comsport,
Byron Irvin,http://hoopshype.com/agents/byron_irvin.htm,American,Relativity Sports,www.relativitysports.com
Joel Bell,http://hoopshype.com/agents/joel_bell.htm,American,Bell Management,
John Hamilton,http://hoopshype.com/agents/john_hamilton.htm,American,Performance Sports Management,www.ps-mgmt.com
Rade Filipovich,http://hoopshype.com/agents/rade_filipovich.htm,Serbian,BDA Sports Management,www.bdasports.com
Sean Kennedy,http://hoopshype.com/agents/sean_kennedy.htm,American,Excel Sports Management,www.excelsm.com
David Bauman,http://hoopshype.com/agents/david_bauman.htm,American,Lagardere Unlimited,www.lagardere-unlimited.com
Reggie Brown,http://hoopshype.com/agents/reggie_brown.htm,American,Priority Sports & Entertainment,www.prioritybasketball.biz
Aaron Goodwin,http://hoopshype.com/agents/aaron_goodwin.htm,American,Goodwin Management Group,www.goodwinsports.com
Brad Ames,http://hoopshype.com/agents/brad_ames.htm,American,Priority Sports & Entertainment,www.prioritybasketball.biz
Guy Zucker,http://hoopshype.com/agents/guy_zucker.htm,American,Zucker International,
Michael Lindeman,http://hoopshype.com/agents/michael_lindeman.htm,American,Excel Sports Management,www.excelsm.com
Steve McCaskill,http://hoopshype.com/agents/steve_mccaskill.htm,American,Rogue Sports,www.roguesportsllc.com
George Bass,http://hoopshype.com/agents/george_bass.htm,American,AAI Sports,www.aaisports.com
Jeff Wechsler,http://hoopshype.com/agents/jeff_wechsler.htm,American,24/7 Sports Management,
Mike Conley,http://hoopshype.com/agents/mike_conley.htm,American,BDA Sports Management,www.bdasports.com
Lee Melchioni,http://hoopshype.com/agents/lee_melchioni.htm,American,Wasserman Media Group,www.wmgllc.com
Todd Eley,http://hoopshype.com/agents/todd_eley.htm,American,Stratosphere Sports,
Doug Neustadt,http://hoopshype.com/agents/doug_neustadt.htm,American,The Neustadt Group,
Mike Higgins,http://hoopshype.com/agents/mike_higgins.htm,American,Excel Sports Management,www.excelsm.com
DeAngelo Simmons,http://hoopshype.com/agents/deangelo_simmons.htm,American,BDS Sports,www.bdssports.com
Colin Bryant,http://hoopshype.com/agents/colin_bryant.htm,American,"Dutt Sports Services, Inc",
JR Hensley,http://hoopshype.com/agents/jr_hensley.htm,American,ASM Sports,www.asmsports.com
Jeff Fried,http://hoopshype.com/agents/jeff_fried.htm,American,Peake Management Group,
Bill Neff,http://hoopshype.com/agents/bill_neff.htm,American,Saga Sports,
Michael Whitaker,http://hoopshype.com/agents/michael_whitaker.htm,American,Saga Sports,
Marc Cornstein,http://hoopshype.com/agents/marc_cornstein.htm,American,Pinnacle Management Corporation,www.pinnaclehoops.com
David Lee,http://hoopshype.com/agents/david_lee.htm,American,David Lee Services,
Alvaro Tor,http://hoopshype.com/agents/alvaro_tor.htm,Spainish,Hoops International,www.hoopsinternacional.com
Calvin Andrews,http://hoopshype.com/agents/calvin_andrews.htm,American,BDA Sports Management,www.bdasports.com
Mike George,http://hoopshype.com/agents/mike_george.htm,American,Excel Sports Management,www.excelsm.com
Chris Grier Luchey,http://hoopshype.com/agents/chris_grier_luchey.htm,American,CGL Sports,www.cglsports.com
Brian Elfus,http://hoopshype.com/agents/brian_elfus.htm,American,Impact Sports Basketball,
Derrick Powell,http://hoopshype.com/agents/derek_powell.htm,American,Excel Sports Management,www.excelsm.com
Jared Karnes,http://hoopshype.com/agents/jared_karnes.htm,American,Allegiant Athletic Agency,www.a3athletics.com
Max Ergul,http://hoopshype.com/agents/max_ergul.htm,American,Independent,
John Spencer,http://hoopshype.com/agents/john_spencer.htm,American,540 Sports and Entertainment LLC,www.540se.com
Bernie Lee,http://hoopshype.com/agents/bernie_lee.htm,Canadian,Lee Basketball Services LTD,www.leebasket.com
Kenny Grant,http://hoopshype.com/agents/kenny_grant.htm,American,Championship Sports,
Mitchell Butler,http://hoopshype.com/agents/mitchell_butler.htm,American,Lagardere Unlimited,www.lagardere-unlimited.com
Andrew Vye,http://hoopshype.com/agents/andrew_vye.htm,American,ASM Sports,www.asmsports.com
Aleksander Raskovic,http://hoopshype.com/agents/aleksander_raskovic.htm,Serbian,Wasserman Media Group,www.wmgllc.com
