"team","year","rank","value","value_change","debt","debt_percent","revenue","expense","ebitda","revenue_multiple","ebitda_multiple","debt_yield","ebitda_yield","league","player_expense","gate_receipt","season","name"
"Philadelphia 76ers",1991,"7",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1992,"76ers"
"Philadelphia 76ers",1992,"11",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1993,"76ers"
"Philadelphia 76ers",1994,"19",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1995,"76ers"
"Philadelphia 76ers",1995,"26",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1996,"76ers"
"Philadelphia 76ers",1996,"25",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1997,"76ers"
"Philadelphia 76ers",1997,"25",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1998,"76ers"
"Philadelphia 76ers",1999,"9",195.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,2000,"76ers"
"Philadelphia 76ers",2000,"6",231,0.18,69.3,0.3,57.7,55.9,1.8,4,128.33,0.026,0.008,"NBA",NA,NA,2001,"76ers"
"Philadelphia 76ers",2001,"7",233,0.01,69.9,0.3,86.3,79.8,6.5,2.7,35.85,0.093,0.028,"NBA",44.8,22.2,2002,"76ers"
"Philadelphia 76ers",2002,"5",279,0.19,61.38,0.22,103,91.9,11.1,2.71,25.14,0.181,0.04,"NBA",53.6,NA,2003,"76ers"
"Philadelphia 76ers",2003,"5",298,0.16,NA,NA,NA,NA,18.1,NA,16.46,NA,0.061,"NBA",NA,NA,2004,"76ers"
"Philadelphia 76ers",2004,"5",328,0.1,65.6,0.2,109,107,2,3.01,164,0.03,0.006,"NBA",NA,NA,2005,"76ers"
"Philadelphia 76ers",2005,"8",342,0.04,95.76,0.28,107,99.8,7.2,3.2,47.5,0.075,0.021,"NBA",NA,NA,2006,"76ers"
"Philadelphia 76ers",2006,"12",375,0.07,93.75,0.25,110,116.2,-6.2,3.41,0,0,NA,"NBA",NA,NA,2007,"76ers"
"Philadelphia 76ers",2007,"13",380,0.01,64.6,0.17,112,114.8,-2.8,3.39,0,0,NA,"NBA",NA,NA,2008,"76ers"
"Philadelphia 76ers",2008,"13",360,-0.05,64.8,0.18,116,115.7,0.3,3.1,1200,0.005,0.001,"NBA",NA,NA,2009,"76ers"
"Philadelphia 76ers",2009,"14",344,-0.04,65.36,0.19,115,107.4,7.6,2.99,45.26,0.116,0.022,"NBA",NA,NA,2010,"76ers"
"Philadelphia 76ers",2010,"17",330,-0.04,75.9,0.23,110,111.2,-1.2,3,0,0,NA,"NBA",NA,NA,2011,"76ers"
"Philadelphia 76ers",2011,"22",314,-0.05,150.72,0.48,116,126.3,-10.3,2.71,0,0,NA,"NBA",NA,NA,2012,"76ers"
"Philadelphia 76ers",2012,"20",418,0.33,150.48,0.36,107,107.8,-0.8,3.91,0,0,NA,"NBA",NA,NA,2013,"76ers"
"Philadelphia 76ers",2013,"23",469,0.12,150.08,0.32,117,120.8,-3.8,4.00854700854701,-123.421052631579,-0.025319829424307,-0.00810234541577825,"NBA",NA,NA,2014,"76ers"
"Milwaukee Bucks",1991,"16",53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1992,"Bucks"
"Milwaukee Bucks",1992,"20",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1993,"Bucks"
"Milwaukee Bucks",1994,"23",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1995,"Bucks"
"Milwaukee Bucks",1995,"18",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1996,"Bucks"
"Milwaukee Bucks",1996,"20",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1997,"Bucks"
"Milwaukee Bucks",1997,"28",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1998,"Bucks"
"Milwaukee Bucks",1999,"29",94.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,2000,"Bucks"
"Milwaukee Bucks",2000,"28",111,0.18,25.53,0.23,25.8,40.7,-14.9,4.3,0,0,NA,"NBA",NA,NA,2001,"Bucks"
"Milwaukee Bucks",2001,"28",131,0.18,24.89,0.19,54.7,67.7,-13,2.39,0,0,NA,"NBA",48.3,15.3,2002,"Bucks"
"Milwaukee Bucks",2002,"28",150,0.14,19.5,0.13,65,81.3,-16.3,2.31,0,0,NA,"NBA",60.4,NA,2003,"Bucks"
"Milwaukee Bucks",2003,"29",168,0.14,NA,NA,NA,NA,-8.5,NA,0,NA,NA,"NBA",NA,NA,2004,"Bucks"
"Milwaukee Bucks",2004,"29",174,0.04,29.58,0.17,70,85.1,-15.1,2.49,0,0,NA,"NBA",NA,NA,2005,"Bucks"
"Milwaukee Bucks",2005,"29",199,0.14,39.8,0.2,77,72.2,4.8,2.58,41.46,0.121,0.024,"NBA",NA,NA,2006,"Bucks"
"Milwaukee Bucks",2006,"28",260,0.13,54.6,0.21,87,85.5,1.5,2.99,173.33,0.027,0.006,"NBA",NA,NA,2007,"Bucks"
"Milwaukee Bucks",2007,"29",264,0.01,55.44,0.21,88,86.3,1.7,3,155.29,0.031,0.006,"NBA",NA,NA,2008,"Bucks"
"Milwaukee Bucks",2008,"30",278,0.05,55.6,0.2,94,88.6,5.4,2.96,51.48,0.097,0.019,"NBA",NA,NA,2009,"Bucks"
"Milwaukee Bucks",2009,"30",254,-0.09,55.88,0.22,91,98.4,-7.4,2.79,0,0,NA,"NBA",NA,NA,2010,"Bucks"
"Milwaukee Bucks",2010,"30",258,0.02,54.18,0.21,92,94,-2,2.8,0,0,NA,"NBA",NA,NA,2011,"Bucks"
"Milwaukee Bucks",2011,"30",268,0.04,56.28,0.21,92,99.6,-7.6,2.91,0,0,NA,"NBA",NA,NA,2012,"Bucks"
"Milwaukee Bucks",2012,"30",312,0.16,56.16,0.18,87,87.5,-0.5,3.59,0,0,NA,"NBA",NA,NA,2013,"Bucks"
"Milwaukee Bucks",2013,"30",405,0.3,76.95,0.19,109,97.5,11.5,3.71559633027523,35.2173913043478,0.149447693307342,0.0283950617283951,"NBA",NA,NA,2014,"Bucks"
"Chicago Bulls",1991,"4",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1992,"Bulls"
"Chicago Bulls",1992,"4",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1993,"Bulls"
"Chicago Bulls",1994,"3",149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1995,"Bulls"
"Chicago Bulls",1995,"4",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1996,"Bulls"
"Chicago Bulls",1996,"4",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1997,"Bulls"
"Chicago Bulls",1997,"3",214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,1998,"Bulls"
"Chicago Bulls",1999,"1",303.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NBA",NA,NA,2000,"Bulls"
"Chicago Bulls",2000,"2",307,0.01,30.7,0.1,66.8,46.4,20.4,4.6,15.05,0.664,0.066,"NBA",NA,NA,2001,"Bulls"
"Chicago Bulls",2001,"3",314,0.02,31.4,0.1,112.2,64,48.2,2.8,6.51,1.535,0.154,"NBA",29.5,30.5,2002,"Bulls"
