"","rank","team","value","value_change","debt_percent","revenue","operating_income","year"
"2","1","Toronto Maple Leafs","332","18","52","119","41.5",2006
"3","2","New York Rangers","306","9","82","109","17.7",2006
"4","3","Detroit Red Wings","258","4","35","89","5.8",2006
"5","4","Dallas Stars","248","-4","81","89","10.0",2006
"6","5","Philadelphia Flyers","246","-7","26","88","0.9",2006
"7","6","Boston Bruins","235","0","51","86","4.8",2006
"8","7","Montreal Canadiens","230","18","104","90","17.5",2006
"9","8","Colorado Avalanche","219","-11","25","81","5.9",2006
"10","9","Los Angeles Kings","205","6","96","82","7.1",2006
"11","10","Vancouver Canucks","192","30","57","80","1.1",2006
"12","11","Tampa Bay Lightning","172","15","29","82","5.0",2006
"13","12","Chicago Blackhawks","168","-6","0","67","3.1",2006
"14","13","Minnesota Wild","163","0","79","71","4.7",2006
"15","14","Ottawa Senators","159","27","15","76","4.2",2006
"16","15","Anaheim Ducks","157","45","0","75","-0.2",2006
"17","16","St Louis Blues","150","7","80","66","1.0",2006
"18","17","Buffalo Sabres","149","45","34","70","4.6",2006
"19","18","New Jersey Devils","148","19","53","62","-6.7",2006
"20","19","Edmonton Oilers","146","40","19","75","10.7",2006
"21","20","San Jose Sharks","145","-2","31","69","1.8",2006
"22","21","Carolina Hurricanes","144","44","63","72","0.5",2006
"23","22","Phoenix Coyotes","143","5","49","63","-6.0",2006
"24","23","Florida Panthers","142","18","35","65","-1.9",2006
"25","24","New York Islanders","140","-12","71","56","-9.2",2006
"26","25","Columbus Blue Jackets","139","0","32","66","-4.0",2006
"27","26","Calgary Flames","135","17","14","68","2.3",2006
"28","27","Nashville Predators","134","21","28","61","-1.1",2006
"29","28","Pittsburgh Penguins","133","31","38","63","4.8",2006
"30","29","Atlanta Thrashers","128","21","55","64","-5.4",2006
"31","30","Washington Capitals","127","10","54","63","4.6",2006
"211","1","Toronto Maple Leafs","413","24","39","138","52.7",2007
"32","2","New York Rangers","365","19","0","122","25.4",2007
"41","3","Detroit Red Wings","293","14","31","109","14.4",2007
"51","4","Montreal Canadiens","283","23","85","109","25.2",2007
"61","5","Dallas Stars","254","2","79","91","10.5",2007
"71","6","Philadelphia Flyers","244","-1","27","87","5.7",2007
"81","7","Boston Bruins","243","3","49","87","-0.6",2007
"91","8","Colorado Avalanche","214","-3","24","79","6.6",2007
"101","9","Vancouver Canucks","211","10","52","96","12.8",2007
"111","10","Los Angeles Kings","209","2","91","84","2.0",2007
"1210","11","Tampa Bay Lightning","199","16","25","85","0.6",2007
"1310","12","Anaheim Ducks","197","25","0","89","6.6",2007
"1410","13","New Jersey Devils","195","31","128","65","-15.3",2007
"1510","14","Ottawa Senators","186","17","59","93","10.4",2007
