"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"1",1,"New York Knicks",334,13,92.9,4,49,2000,"NBATeamValues00.xls",NA,NA
"2",2,"Chicago Bulls",307,1,66.8,20.4,10,2000,"NBATeamValues00.xls",NA,NA
"3",3,"Los Angeles Lakers",282,5,58.7,-0.9,56,2000,"NBATeamValues00.xls",NA,NA
"4",4,"Portland Trail Blazers",257,5,57.1,-13.5,58,2000,"NBATeamValues00.xls",NA,NA
"5",5,"Phoenix Suns",239,2,58.3,5.8,23,2000,"NBATeamValues00.xls",NA,NA
"6",6,"Philadelphia 76ers",231,18,57.7,1.8,30,2000,"NBATeamValues00.xls",NA,NA
"7",7,"Detroit Pistons",226,10,51.3,-1.7,0,2000,"NBATeamValues00.xls",NA,NA
"8",8,"Utah Jazz",215,7,47.7,-0.7,22,2000,"NBATeamValues00.xls",NA,NA
"9",9,"Washington Wizards",209,1,48.6,-2.8,53,2000,"NBATeamValues00.xls",NA,NA
"10",10,"Boston Celtics",187,6,41.5,2.3,47,2000,"NBATeamValues00.xls",NA,NA
"11",11,"Seattle Supersonics",183,8,43.6,-2.3,40,2000,"NBATeamValues00.xls",NA,NA
"12",12,"Indiana Pacers",178,17,34.2,-19.4,32,2000,"NBATeamValues00.xls",NA,NA
"13",13,"Cleveland Cavaliers",170,6,37.8,-0.1,0,2000,"NBATeamValues00.xls",NA,NA
"14",14,"San Antonio Spurs",169,39,42.3,-6.7,15,2000,"NBATeamValues00.xls",NA,NA
"15",15,"Houston Rockets",168,1,44.3,-3.6,24,2000,"NBATeamValues00.xls",NA,NA
"16",16,"New Jersey Nets",166,6,38.6,-8.6,12,2000,"NBATeamValues00.xls",NA,NA
"17",17,"Miami Heat",162,12,33.1,-20.7,114,2000,"NBATeamValues00.xls",NA,NA
"18",18,"Orlando Magic",159,19,37.9,-9.1,35,2000,"NBATeamValues00.xls",NA,NA
"19",19,"Sacramento Kings",151,27,34.3,-12.5,43,2000,"NBATeamValues00.xls",NA,NA
"20",20,"Atlanta Hawks",150,7,28.8,-19.3,44,2000,"NBATeamValues00.xls",NA,NA
"21",21,"Minnesota Timberwolves",146,23,41.7,4.2,14,2000,"NBATeamValues00.xls",NA,NA
"22",22,"Dallas Mavericks",141,18,26.1,-14.7,76,2000,"NBATeamValues00.xls",NA,NA
"23",23,"Golden State Warriors",140,8,31.8,-7.7,80,2000,"NBATeamValues00.xls",NA,NA
"24",24,"Toronto Raptors",138,14,33.6,-8,96,2000,"NBATeamValues00.xls",NA,NA
"25",25,"Charlotte Hornets",136,10,30.3,-2.2,37,2000,"NBATeamValues00.xls",NA,NA
"26",26,"Vancouver Grizzlies",127,-5,28.2,-12.4,47,2000,"NBATeamValues00.xls",NA,NA
"27",27,"Denver Nuggets",124,13,23.8,-9.8,56,2000,"NBATeamValues00.xls",NA,NA
"28",28,"Milwaukee Bucks",111,18,25.8,-14.9,23,2000,"NBATeamValues00.xls",NA,NA
"29",29,"Los Angeles Clippers",103,1,23,-13.2,0,2000,"NBATeamValues00.xls",NA,NA
"30",1,"New York Knicks",395,18,152,30.7,38,2001,"NBATeamValues01.xls",74.8,43.5
"31",2,"Los Angeles Lakers",360,28,133.2,36.6,15,2001,"NBATeamValues01.xls",57.7,50.2
"32",3,"Chicago Bulls",314,2,112.2,48.2,10,2001,"NBATeamValues01.xls",29.5,30.5
"33",4,"Portland Trail Blazers",272,6,97.3,-12.8,55,2001,"NBATeamValues01.xls",76.4,44
"34",5,"Phoenix Suns",252,5,96.8,16.5,10,2001,"NBATeamValues01.xls",49,24
"35",6,"Detroit Pistons",236,4,90.6,11.6,0,2001,"NBATeamValues01.xls",44.6,17.9
"36",7,"Philadelphia 76ers",233,1,86.3,6.5,30,2001,"NBATeamValues01.xls",44.8,22.2
"37",8,"Indiana Pacers",232,31,86.1,0.9,25,2001,"NBATeamValues01.xls",56.7,32
"38",9,"Utah Jazz",226,5,87,5.2,19,2001,"NBATeamValues01.xls",51.7,33.8
"39",10,"Miami Heat",225,39,89.9,9.7,82,2001,"NBATeamValues01.xls",53.5,29.9
"40",11,"Boston Celtics",212,13,81.5,12.4,44,2001,"NBATeamValues01.xls",48.7,24.9
"41",12,"Washington Wizards",210,0,75,-6.1,53,2001,"NBATeamValues01.xls",55.1,20.3
"42",13,"Houston Rockets",206,23,79.4,-1,19,2001,"NBATeamValues01.xls",54.8,33.1
"43",14,"San Antonio Spurs",189,12,67.4,-1.4,21,2001,"NBATeamValues01.xls",46.3,26.9
"44",15,"Seattle SuperSonics",187,2,74.7,6.7,39,2001,"NBATeamValues01.xls",43.8,28.5
"45",16,"Cleveland Cavaliers",185,9,68.6,-2,0,2001,"NBATeamValues01.xls",49,15.3
"46",17,"Atlanta Hawks",184,23,70.8,-1.8,33,2001,"NBATeamValues01.xls",45.6,16.7
"47",18,"New Jersey Nets",179,8,78,8.7,78,2001,"NBATeamValues01.xls",45.3,27.1
"48",19,"Sacramento Kings",178,18,71.3,2.8,36,2001,"NBATeamValues01.xls",42.6,27.2
"49",20,"Denver Nuggets",175,42,67.5,-2.7,39,2001,"NBATeamValues01.xls",45.7,15
"50",21,"Minnesota Timberwolves",169,16,70.4,5.8,12,2001,"NBATeamValues01.xls",44.6,22.8
"51",22,"Golden State Warriors",168,20,67.2,6,67,2001,"NBATeamValues01.xls",38.6,19.3
"52",23,"Dallas Mavericks",167,19,59.7,-6.7,64,2001,"NBATeamValues01.xls",42,21.3
