"","year","name","franchise","price","buyer","details","current_pic_url"
"10",1946,"Celtics","Boston Celtics",0.003,"Walter A. Brown","Formed in BAA","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"72",1947,"Lakers","Minneapolis Lakers",0.015,"Ben Berger and","Purchased the Recently Disbanded Team From NBL","http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png"
"50",1951,"Warriors","Philadelphia Warriors",0.025,"Eddie Gottlieb","Bought the Team","http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png"
"71",1957,"Lakers","Minneapolis Lakers",0.15,"Bob Short & 117 Minnesota businesses & private citizens","Sold Team","http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png"
"48",1962,"Warriors","San Francisco Warriors",0.85,"Franklin Mieuli with 32 Other Local Investors","Purchased Team and Moved It to Bay Area","http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png"
"138",1964,"Wizards","Baltimore Bullets",1.1,"Abe Pollin, Arnold Heft, Earl Foreman","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png"
"141",1964,"Wizards","Baltimore Bullets",1.1,"Bob Trager","Sold Team","http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png"
"13",1965,"Celtics","Boston Celtics",3,"Marvin Kratter","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"73",1965,"Lakers","Los Angeles Lakers",5.175,"Jack Kent Cooke","Purchased Team","http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png"
"28",1966,"Bulls","Chicago Bulls",1.6,"Dick Klein","Awarded An NBA Expansion Franchise","http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png"
"36",1967,"Nuggets","Denver Rockets",0.035,"James Trindle","Created a Team in ABA","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"42",1967,"Nuggets","Denver Rockets",0.17,"Bill Ringsby","Bought 2/3 Controlling Interest","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"58",1967,"Rockets","San Diego Rockets",1.75,"Robert Breitbard","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png"
"101",1967,"Thunder","Seattle SuperSonics",1.75,"Sam Schulman","Created Franchise in Seattle","http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png"
"1",1968,"Hawks","Atlanta Hawks",2,"Tom Cousins & Carl Sanders","Bought the St. Louis Hawks and Moved to Atlanta","http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png"
"15",1968,"Celtics","Boston Celtics",6,"Ballantine Brewery","Bought Team, Trans-national Communications Became Temporary Owners in 1970","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"85",1968,"Bucks","Milwaukee Bucks",2,"Wes Pavalon","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Milwaukee_Bucks.svg/400px-Milwaukee_Bucks.svg.png"
"113",1969,"Suns","Phoenix Suns",2,"Richard Bloch & Karl Eller, Don Pitt, Don Diamond, Bhavik Darji, Marvin Meyer","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png"
"19",1970,"Nets","New York Nets",1.1,"Roy Boe","Transfer of Ownership","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png"
"32",1971,"Cavaliers","Cleveland Cavaliers",3.7,"Nick Mileti & others","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png"
"60",1971,"Rockets","San Diego Rockets",5.6,"Billy Goldberg, Wayne Duddlesten, Mickey Herskowitz","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png"
"68",1971,"Clippers","Buffalo Braves",3.7,"Paul Snyder","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png"
"115",1971,"Trail Blazers","Portland Trail Blazers",3.7,"Larry Weinberg, Herman Sarkowsky, Robert Schmertz","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png"
"8",1972,"Celtics","Boston Celtics",4,"Robert Schmertz","Forced Transaction, Sale to Irv Levin, Harold Lipton Not Approved By NBA Due to Conlfict of Interest","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
