team,name,team_id,colors,wiki_url,logo_image_url,dbpedia_url,dbpedia_data_json,league
Atlanta Hawks,Hawks,ATL,"Navy, Red, Silver",wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png,live.dbpedia.org/page/Atlanta_Hawks,live.dbpedia.org/data/Atlanta_Hawks.json,NBA
Boston Celtics,Celtics,BOS,"Green, White, Black",wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png,live.dbpedia.org/page/Boston_Celtics,live.dbpedia.org/data/Boston_Celtics.json,NBA
Brooklyn Nets,Nets,BKM,"Black, White",wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png,live.dbpedia.org/page/Brooklyn_Nets,live.dbpedia.org/data/Brooklyn_Nets.json,NBA
Charlotte Bobcats,Bobcats,CHA,"Navy, Blue, Orange, Silver, White",wikipedia.org/wiki/Charlotte_Bobcats,http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png,live.dbpedia.org/page/Charlotte_Bobcats,live.dbpedia.org/data/Charlotte_Bobcats.json,NBA
Charlotte Hornets,Pelicans,NOH,teal,wikipedia.org/wiki/New_Orleans_Pelicans,http://upload.wikimedia.org/wikipedia/en/thumb/7/73/Charlotte_Hornets_1989-2002.png/270px-Charlotte_Hornets_1989-2002.png,live.dbpedia.org/page/New_Orleans_Pelicans,live.dbpedia.org/data/New_Orleans_Pelicans.json,NBA
Chicago Bulls,Bulls,CHI,"Red, Black, White",wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png,live.dbpedia.org/page/Chicago_Bulls,live.dbpedia.org/data/Chicago_Bulls.json,NBA
Cleveland Cavaliers,Cavaliers,CLE,"Red, Gold, Navy",wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png,live.dbpedia.org/page/Cleveland_Cavaliers,live.dbpedia.org/data/Cleveland_Cavaliers.json,NBA
Dallas Mavericks,Mavericks,DAL,"Blue, Silver, White",wikipedia.org/wiki/Dallas_Mavericks,http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png,live.dbpedia.org/page/Dallas_Mavericks,live.dbpedia.org/data/Dallas_Mavericks.json,NBA
Denver Nuggets,Nuggets,DEN,"Light Blue, Gold, Navy",wikipedia.org/wiki/Denver_Nuggets,http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png,live.dbpedia.org/page/Denver_Nuggets,live.dbpedia.org/data/Denver_Nuggets.json,NBA
Detroit Pistons,Pistons,DET,"White, Blue, Red",wikipedia.org/wiki/Detroit_Pistons,http://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Detroit_Pistons_logo.svg/400px-Detroit_Pistons_logo.svg.png,live.dbpedia.org/page/Detroit_Pistons,live.dbpedia.org/data/Detroit_Pistons.json,NBA
Golden State Warriors,Warriors,GSW,"Blue, Gold, Yellow",wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png,live.dbpedia.org/page/Golden_State_Warriors,live.dbpedia.org/data/Golden_State_Warriors.json,NBA
Houston Rockets,Rockets,HOU,"Red, White, Silver",wikipedia.org/wiki/Houston_Rockets,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png,live.dbpedia.org/page/Houston_Rockets,live.dbpedia.org/data/Houston_Rockets.json,NBA
Indiana Pacers,Pacers,IND,"Navy, Gold, Silver, White",wikipedia.org/wiki/Indiana_Pacers,http://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png,live.dbpedia.org/page/Indiana_Pacers,live.dbpedia.org/data/Indiana_Pacers.json,NBA
Los Angeles Clippers,Clippers,LAC,"Red, Blue, White",wikipedia.org/wiki/Los_Angeles_Clippers,http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png,live.dbpedia.org/page/Los_Angeles_Clippers,live.dbpedia.org/data/Los_Angeles_Clippers.json,NBA
Los Angeles Lakers,Lakers,LAL,"Purple, Gold, White",wikipedia.org/wiki/Los_Angeles_Lakers,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png,live.dbpedia.org/page/Los_Angeles_Lakers,live.dbpedia.org/data/Los_Angeles_Lakers.json,NBA
Memphis Grizzlies,Grizzlies,MEM,"Blue, Gold, White",wikipedia.org/wiki/Memphis_Grizzlies,http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png,live.dbpedia.org/page/Memphis_Grizzlies,live.dbpedia.org/data/Memphis_Grizzlies.json,NBA
Miami Heat,Heat,MIA,"Black, Red, White, Gold",wikipedia.org/wiki/Miami_Heat,http://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png,live.dbpedia.org/page/Miami_Heat,live.dbpedia.org/data/Miami_Heat.json,NBA
Milwaukee Bucks,Bucks,MIL,"Green, Red, Silver, White",wikipedia.org/wiki/Milwaukee_Bucks,http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Milwaukee_Bucks.svg/400px-Milwaukee_Bucks.svg.png,live.dbpedia.org/page/Milwaukee_Bucks,live.dbpedia.org/data/Milwaukee_Bucks.json,NBA
Minnesota Timberwolves,Timberwolves,MIN,"Blue, Black, Silver, Green",wikipedia.org/wiki/Minnesota_Timberwolves,http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png,live.dbpedia.org/page/Minnesota_Timberwolves,live.dbpedia.org/data/Minnesota_Timberwolves.json,NBA
New Jersey Nets,Nets,BKN,"Red, Blue, Silver",wikipedia.org/wiki/New_Jersey_Nets,http://upload.wikimedia.org/wikipedia/en/thumb/f/f4/New_Jersey_Nets.svg/250px-New_Jersey_Nets.svg.png,live.dbpedia.org/page/New_Jersey_Nets,live.dbpedia.org/data/New_Jersey_Nets.json,NBA
