"year","volume","transactions","value_min","value_mean","value_max","value_cumulative","share_historic_volume","detail","league"
1920,0.0001,1,0.0001,0.0001,0.0001,0.0001,100,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1920 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0001<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.0001<br /><strong>Minimum Valuation (m):</strong> $0.0001<br /><strong>Maximum Valuation (m):</strong> $0.0001<br /><strong>Cumulative Sales Volume (m):</strong> $0.0001</span></span></td></tr></tbody></table></html>","NFL"
1922,0.00025,1,0.00025,0.00025,0.00025,0.00035,71.4285714285714,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1922 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.00025<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.00025<br /><strong>Minimum Valuation (m):</strong> $0.00025<br /><strong>Maximum Valuation (m):</strong> $0.00025<br /><strong>Cumulative Sales Volume (m):</strong> $0.00035</span></span></td></tr></tbody></table></html>","NFL"
1923,0.0035,2,0.001,0.00175,0.0025,0.00385,90.9090909090909,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1923 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0035<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.00175<br /><strong>Minimum Valuation (m):</strong> $0.0025<br /><strong>Maximum Valuation (m):</strong> $0.001<br /><strong>Cumulative Sales Volume (m):</strong> $0.00385</span></span></td></tr></tbody></table></html>","NFL"
1925,0.0025,1,0.0025,0.0025,0.0025,0.00635,39.3700787401575,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1925 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0025<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.0025<br /><strong>Minimum Valuation (m):</strong> $0.0025<br /><strong>Maximum Valuation (m):</strong> $0.0025<br /><strong>Cumulative Sales Volume (m):</strong> $0.00635</span></span></td></tr></tbody></table></html>","NFL"
1926,0.000001,1,0.000001,0.000001,0.000001,0.006351,0.0157455518815935,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1926 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.000001<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.000001<br /><strong>Minimum Valuation (m):</strong> $0.000001<br /><strong>Maximum Valuation (m):</strong> $0.000001<br /><strong>Cumulative Sales Volume (m):</strong> $0.00635</span></span></td></tr></tbody></table></html>","NFL"
1928,0.01,1,0.01,0.01,0.01,0.016351,61.1583389395144,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1928 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.01<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.01<br /><strong>Minimum Valuation (m):</strong> $0.01<br /><strong>Maximum Valuation (m):</strong> $0.01<br /><strong>Cumulative Sales Volume (m):</strong> $0.0164</span></span></td></tr></tbody></table></html>","NFL"
1929,0.017,3,0.002,0.00566666666666667,0.0125,0.033351,50.9729843183113,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1929 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.017<br /><strong>Transactions:</strong> 3<br /><strong>Mean Valuation (m):</strong> $0.00567<br /><strong>Minimum Valuation (m):</strong> $0.0125<br /><strong>Maximum Valuation (m):</strong> $0.002<br /><strong>Cumulative Sales Volume (m):</strong> $0.0334</span></span></td></tr></tbody></table></html>","NFL"
1931,0.08,1,0.08,0.08,0.08,0.113351,70.577233548888,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1931 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.08<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.08<br /><strong>Minimum Valuation (m):</strong> $0.08<br /><strong>Maximum Valuation (m):</strong> $0.08<br /><strong>Cumulative Sales Volume (m):</strong> $0.113</span></span></td></tr></tbody></table></html>","NFL"
1932,0.0575,2,0.0075,0.02875,0.05,0.170851,33.6550561600459,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1932 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0575<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.0288<br /><strong>Minimum Valuation (m):</strong> $0.05<br /><strong>Maximum Valuation (m):</strong> $0.0075<br /><strong>Cumulative Sales Volume (m):</strong> $0.171</span></span></td></tr></tbody></table></html>","NFL"
1933,0.0028,1,0.0028,0.0028,0.0028,0.173651,1.6124295281916,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1933 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0028<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.0028<br /><strong>Minimum Valuation (m):</strong> $0.0028<br /><strong>Maximum Valuation (m):</strong> $0.0028<br /><strong>Cumulative Sales Volume (m):</strong> $0.174</span></span></td></tr></tbody></table></html>","NFL"
