name,franchise,startDate,endDate
Bobcats,Charlotte Bobcats,2003,2009
Bobcats,Charlotte Bobcats,2009,2014
Bucks,Milwaukee Bucks,1968,1976
Bucks,Milwaukee Bucks,1976,1985
Bucks,Milwaukee Bucks,1985,2014
Bucks,Milwaukee Bucks,2014,2014
Bulls,Chicago Bulls,1966,1972
Bulls,Chicago Bulls,1972,1985
Bulls,Chicago Bulls,1985,2014
Cavaliers,Cleveland Cavaliers,1971,1980
Cavaliers,Cleveland Cavaliers,1980,1983
Cavaliers,Cleveland Cavaliers,1983,2005
Cavaliers,Cleveland Cavaliers,2005,2014
Celtics,Boston Celtics,1946,1964
Celtics,Boston Celtics,1964,1965
Celtics,Boston Celtics,1965,1968
Celtics,Boston Celtics,1968,1972
Celtics,Boston Celtics,1972,1975
Celtics,Boston Celtics,1975,1978
Celtics,Boston Celtics,1978,1979
Celtics,Boston Celtics,1979,1983
Celtics,Boston Celtics,1983,1986
Celtics,Boston Celtics,1986,1993
Celtics,Boston Celtics,1993,2002
Celtics,Boston Celtics,2002,2014
Clippers,Buffalo Braves,1971,1976
Clippers,Buffalo Braves,1976,1978
Clippers,Buffalo Braves,1978,1978
Clippers,San Diego Clippers,1978,1981
Clippers,Los Angeles Clippers,1981,2014
Grizzlies,Vancouver Grizzlies,1996,1997
Grizzlies,Vancouver Grizzlies,1997,1999
Grizzlies,Vancouver Grizzlies,1999,2000
Grizzlies,Memphis Grizzlies,2000,2012
Grizzlies,Memphis Grizzlies,2012,2014
Hawks,Tri-Cities Blackhawks,1946,1968
Hawks,Atlanta Hawks,1968,1977
Hawks,Atlanta Hawks,1977,1996
Hawks,Atlanta Hawks,1996,2004
Hawks,Atlanta Hawks,2004,2014
Heat,Miami Heat,1989,1995
Heat,Miami Heat,1995,2014
Jazz,New Orleans Jazz,1974,1977
Jazz,New Orleans Jazz,1977,1977
Jazz,New Orleans Jazz,1977,1985
Jazz,Utah Jazz,1985,1986
Jazz,Utah Jazz,1986,2008
Jazz,Utah Jazz,2008,2014
Kings,Rochester Royals,1946,1966
Kings,Cincinnati Royals,1966,1983
Kings,Kansas City Kings,1983,1998
Kings,Sacramento Kings,1998,2013
Kings,Sacramento Kings,2013,2014
Knicks,New York Knicks,1947,1977
Knicks,New York Knicks,1977,1994
Knicks,New York Knicks,1994,1994
Knicks,New York Knicks,1994,1997
Knicks,New York Knicks,1997,2010
Knicks,New York Knicks,2010,2014
Lakers,Minneapolis Lakers,1947,1957
Lakers,Minneapolis Lakers,1957,1958
Lakers,Minneapolis Lakers,1958,1965
Lakers,Los Angeles Lakers,1965,1979
Lakers,Los Angeles Lakers,1979,1989
Magic,Orlando Magic,1989,1991
Magic,Orlando Magic,1991,2007
Magic,Orlando Magic,2007,2014
Mavericks,Dallas Mavericks,1980,1996
Mavericks,Dallas Mavericks,1996,2000
Mavericks,Dallas Mavericks,2000,2014
Nets,New Jersey Americans,1968,1970
Nets,New York Nets,1970,1978
Nets,New Jersey Nets,1978,1998
Nets,New Jersey Nets,1998,2004
Nets,New Jersey Nets,2004,2010
Nets,New Jersey Nets,2010,2014
Nuggets,Denver Rockets,1967,1967
Nuggets,Denver Rockets,1967,1972
Nuggets,Denver Rockets,1972,1976
Nuggets,Denver Nuggets,1976,1978
Nuggets,Denver Nuggets,1978,1985
Nuggets,Denver Nuggets,1985,1989
Nuggets,Denver Nuggets,1989,1992
Nuggets,Denver Nuggets,1992,2000
Nuggets,Denver Nuggets,2000,2014
Pacers,Indiana Pacers,1968,1976
Pacers,Indiana Pacers,1976,1983
Pacers,Indiana Pacers,1983,1989
Pelicans,Charlotte Hornets,1989,2007
Pelicans,New Orleans Hornets,2007,2010
Pelicans,New Orleans Hornets,2010,2012
Pelicans,New Orleans Hornets,2012,2014
Pistons,Fort Wayne Pistons,1948,1974
Pistons,Detroit Pistons,1974,2011
Pistons,Detroit Pistons,2011,2014
