conference,division,team,lovation,arena,founded,joined
Eastern,Atlantic,Boston Celtics,"Boston, MA",TD Garden,1946,1946
Eastern,Atlantic,Brooklyn Nets,"Brooklyn, NY",Barclays Center,1967,1976
Eastern,Atlantic,New York Knicks,"New York City, NY",Madison Square Garden,1946,1946
Eastern,Atlantic,Philadelphia 76ers,"Philadelphia, PA",Wells Fargo Center,1946,1949
Eastern,Central,Toronto Raptors,"Toronto, ON",Air Canada Centre,1995,1995
Eastern,Central,Chicago Bulls,"Chicago, IL",United Center,1966,1966
Eastern,Central,Cleveland Cavaliers,"Cleveland, OH",Quicken Loans Arena,1970,1970
Eastern,Central,Detroit Pistons,"Auburn Hills, MI",The Palace of Auburn Hills,1941,1948
Eastern,Central,Indiana Pacers,"Indianapolis, IN",Bankers Life Fieldhouse,1967,1976
Eastern,Central,Milwaukee Bucks,"Milwaukee, WI",BMO Harris Bradley Center,1968,1968
Eastern,Southeast,Atlanta Hawks,"Atlanta, GA",Philips Arena,1946,1949
Eastern,Southeast,Charlotte Hornets,"Charlotte, NC",Time Warner Cable Arena,1988,1988
Eastern,Southeast,Miami Heat,"Miami, FL",American Airlines Arena,1988,1988
Eastern,Southeast,Orlando Magic,"Orlando, FL",Amway Center,1989,1989
Eastern,Southeast,Washington Wizards,"Washington, D.C.",Verizon Center,1961,1961
Western,Northwest,Denver Nuggets,"Denver, CO",Pepsi Center,1967,1976
Western,Northwest,Minnesota Timberwolves,"Minneapolis, MN",Target Center,1989,1989
Western,Northwest,Oklahoma City Thunder,"Oklahoma City, OK",Chesapeake Energy Arena,1967,1967
Western,Northwest,Portland Trail Blazers,"Portland, OR",Moda Center,1970,1970
Western,Northwest,Utah Jazz,"Salt Lake City, UT",EnergySolutions Arena,1974,1974
Western,Pacific,Golden State Warriors,"Oakland, CA",Oracle Arena,1946,1946
Western,Pacific,Los Angeles Clippers,"Los Angeles, CA",Staples Center,1970,1970
Western,Pacific,Los Angeles Lakers,"Los Angeles, CA",Staples Center,1947,1948
Western,Pacific,Phoenix Suns,"Phoenix, AZ",US Airways Center,1968,1968
Western,Pacific,Sacramento Kings,"Sacramento, CA",Sleep Train Arena,1923,1948
Western,Southwest,Dallas Mavericks,"Dallas, TX",American Airlines Center,1980,1980
Western,Southwest,Houston Rockets,"Houston, TX",Toyota Center,1967,1967
Western,Southwest,Memphis Grizzlies,"Memphis, TN",FedExForum,1995,1995
Western,Southwest,New Orleans Pelicans,"New Orleans, LA",Smoothie King Center,2002,2002
Western,Southwest,San Antonio Spurs,"San Antonio, TX",AT&T Center,1967,1976
