year,team,rank,value,value_change,debt,debt_percent,revenue,expense,ebitda,player_expense,gate_receipt,revenue_multiple,ebitda_multiple,debt_yield,ebitda_yield,league
2012,New York Knicks,1,1100.00,0.41,0.00,0.00,243.00,159.80,83.20,NA,NA,4.53,13.22,NA,0.076,NBA
2012,Los Angeles Lakers,2,1000.00,0.11,110.00,0.11,197.00,149.20,47.80,NA,NA,5.08,20.92,0.435,0.048,NBA
2012,Chicago Bulls,3,800.00,0.33,56.00,0.07,162.00,127.80,34.20,NA,NA,4.94,23.39,0.611,0.043,NBA
2012,Boston Celtics,4,730.00,0.51,160.60,0.22,143.00,124.30,18.70,NA,NA,5.10,39.04,0.116,0.026,NBA
2012,Dallas Mavericks,5,685.00,0.38,198.65,0.29,137.00,124.00,13.00,NA,NA,5.00,52.69,0.065,0.019,NBA
2012,Miami Heat,6,625.00,0.37,112.50,0.18,150.00,135.10,14.90,NA,NA,4.17,41.95,0.132,0.024,NBA
2012,Houston Rockets,7,568.00,0.25,102.24,0.18,135.00,108.40,26.60,NA,NA,4.21,21.35,0.260,0.047,NBA
2012,Golden State Warriors,8,555.00,0.23,149.85,0.27,127.00,97.90,29.10,NA,NA,4.37,19.07,0.194,0.052,NBA
2012,Brooklyn Nets,9,530.00,0.48,280.90,0.53,84.00,100.60,-16.60,NA,NA,6.31,0.00,0.000,NA,NBA
2012,San Antonio Spurs,10,527.00,0.26,47.43,0.09,135.00,120.30,14.70,NA,NA,3.90,35.85,0.310,0.028,NBA
2012,Sacramento Kings,11,525.00,0.75,99.75,0.19,96.00,93.40,2.60,NA,NA,5.47,201.92,0.026,0.005,NBA
2012,Oklahoma City Thunder,12,475.00,0.36,137.75,0.29,127.00,97.10,29.90,NA,NA,3.74,15.89,0.217,0.063,NBA
2012,Phoenix Suns,13,474.00,0.20,184.86,0.39,121.00,108.00,13.00,NA,NA,3.92,36.46,0.070,0.027,NBA
2012,Orlando Magic,14,470.00,0.22,122.20,0.26,126.00,114.00,12.00,NA,NA,3.73,39.17,0.098,0.026,NBA
2012,Portland Trail Blazers,15,457.00,0.24,105.11,0.23,117.00,127.10,-10.10,NA,NA,3.91,0.00,0.000,NA,NBA
2012,Cleveland Cavaliers,16,434.00,0.32,199.64,0.46,128.00,109.40,18.60,NA,NA,3.39,23.33,0.093,0.043,NBA
2012,Utah Jazz,17,432.00,0.29,0.00,0.00,111.00,98.90,12.10,NA,NA,3.89,35.70,NA,0.028,NBA
2012,Los Angeles Clippers,18,430.00,0.33,0.00,0.00,108.00,98.90,9.10,NA,NA,3.98,47.25,NA,0.021,NBA
2012,Denver Nuggets,19,427.00,0.35,21.35,0.05,110.00,98.00,12.00,NA,NA,3.88,35.58,0.562,0.028,NBA
2012,Philadelphia 76ers,20,418.00,0.33,150.48,0.36,107.00,107.80,-0.80,NA,NA,3.91,0.00,0.000,NA,NBA
2012,Toronto Raptors,21,405.00,0.06,162.00,0.40,121.00,102.20,18.80,NA,NA,3.35,21.54,0.116,0.046,NBA
2012,Detroit Pistons,22,400.00,0.20,184.00,0.46,125.00,117.30,7.70,NA,NA,3.20,51.95,0.042,0.019,NBA
2012,Washington Wizards,23,397.00,0.21,131.01,0.33,102.00,100.30,1.70,NA,NA,3.89,233.53,0.013,0.004,NBA
2012,Indiana Pacers,24,383.00,0.35,149.37,0.39,98.00,87.10,10.90,NA,NA,3.91,35.14,0.073,0.028,NBA
2012,Memphis Grizzlies,25,377.00,0.40,109.33,0.29,96.00,108.50,-12.50,NA,NA,3.93,0.00,0.000,NA,NBA
2012,Minnesota Timberwolves,26,364.00,0.34,76.44,0.21,96.00,100.50,-4.50,NA,NA,3.79,0.00,0.000,NA,NBA
2012,New Orleans Hornets,27,340.00,0.19,125.80,0.37,100.00,96.70,3.30,NA,NA,3.40,103.03,0.026,0.010,NBA
2012,Atlanta Hawks,28,316.00,0.17,237.00,0.75,99.00,117.70,-18.70,NA,NA,3.19,0.00,0.000,NA,NBA
2012,Charlotte Bobcats,29,315.00,0.14,151.20,0.48,93.00,106.30,-13.30,NA,NA,3.39,0.00,0.000,NA,NBA
2012,Milwaukee Bucks,30,312.00,0.16,56.16,0.18,87.00,87.50,-0.50,NA,NA,3.59,0.00,0.000,NA,NBA
2011,Los Angeles Lakers,1,900.00,0.40,117.00,0.13,208.00,183.70,24.30,NA,NA,4.33,37.04,0.208,0.027,NBA
2011,New York Knicks,2,780.00,0.19,0.00,0.00,244.00,169.10,74.90,NA,NA,3.20,10.41,NA,0.096,NBA
2011,Chicago Bulls,3,600.00,0.17,54.00,0.09,185.00,125.60,59.40,NA,NA,3.24,10.10,1.100,0.099,NBA
2011,Dallas Mavericks,4,497.00,0.13,198.80,0.40,166.00,169.90,-3.90,NA,NA,2.99,0.00,0.000,NA,NBA
2011,Boston Celtics,5,482.00,0.07,178.34,0.37,146.00,138.30,7.70,NA,NA,3.30,62.60,0.043,0.016,NBA
2011,Miami Heat,6,457.00,0.08,155.38,0.34,158.00,132.00,26.00,NA,NA,2.89,17.58,0.167,0.057,NBA
2011,Houston Rockets,7,453.00,0.02,99.66,0.22,150.00,132.10,17.90,NA,NA,3.02,25.31,0.180,0.040,NBA
2011,Golden State Warriors,8,450.00,0.24,148.50,0.33,139.00,116.80,22.20,NA,NA,3.24,20.27,0.149,0.049,NBA
2011,San Antonio Spurs,9,418.00,0.03,50.16,0.12,139.00,124.60,14.40,NA,NA,3.01,29.03,0.287,0.034,NBA
2011,Phoenix Suns,10,395.00,-0.04,185.65,0.47,136.00,122.90,13.10,NA,NA,2.90,30.15,0.071,0.033,NBA
2011,Orlando Magic,11,385.00,0.00,119.35,0.31,140.00,156.00,-16.00,NA,NA,2.75,0.00,0.000,NA,NBA
2011,Toronto Raptors,12,382.00,-0.04,129.88,0.34,134.00,126.60,7.40,NA,NA,2.85,51.62,0.057,0.019,NBA
2011,Portland Trail Blazers,13,370.00,0.04,103.60,0.28,132.00,140.10,-8.10,NA,NA,2.80,0.00,0.000,NA,NBA
2011,New Jersey Nets,14,357.00,0.14,282.03,0.79,89.00,112.60,-23.60,NA,NA,4.01,0.00,0.000,NA,NBA
2011,Oklahoma City Thunder,15,348.00,0.06,139.20,0.40,126.00,101.50,24.50,NA,NA,2.76,14.20,0.176,0.070,NBA
2011,Utah Jazz,16,335.00,-0.02,10.05,0.03,120.00,136.40,-16.40,NA,NA,2.79,0.00,0.000,NA,NBA
2011,Detroit Pistons,17,332.00,-0.08,185.92,0.56,141.00,131.30,9.70,NA,NA,2.35,34.23,0.052,0.029,NBA
2011,Cleveland Cavaliers,18,329.00,-0.07,200.69,0.61,149.00,116.10,32.90,NA,NA,2.21,10.00,0.164,0.100,NBA
