"","name","logo_url","year","valuation_rank","value_estimate","value_change","revenue","ebitda","revenue_multiple","ebitda_multiple","date"
"1","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1991,22,42.9,NA,NA,NA,NA,NA,1991-12-31
"2","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1991,23,42.6,NA,NA,NA,NA,NA,1991-12-31
"3","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1992,21,54,NA,NA,NA,NA,NA,1992-12-31
"4","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1992,22,54,NA,NA,NA,NA,NA,1992-12-31
"5","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1994,18,83,NA,NA,NA,NA,NA,1994-12-31
"6","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1994,21,79,NA,NA,NA,NA,NA,1994-12-31
"7","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1995,22,87,NA,NA,NA,NA,NA,1995-12-31
"8","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1995,19,92,NA,NA,NA,NA,NA,1995-12-31
"9","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1996,27,88,NA,NA,NA,NA,NA,1996-12-31
"10","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1996,19,108,NA,NA,NA,NA,NA,1996-12-31
"11","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1997,29,95,NA,NA,NA,NA,NA,1997-12-31
"12","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1997,14,137,NA,NA,NA,NA,NA,1997-12-31
"13","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",1999,28,101.98,NA,NA,NA,NA,NA,1999-12-31
"14","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",1999,14,156.6,NA,NA,NA,NA,NA,1999-12-31
"15","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",2000,29,103,0.01,23,-13.2,4.48,0,2000-12-31
"16","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",2000,16,166,0.06,38.6,-8.6,4.3,0,2000-12-31
"17","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",2001,25,154,0.5,61.8,11.5,2.49,13.39,2001-12-31
"18","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",2001,18,179,0.08,78,8.7,2.29,20.57,2001-12-31
"19","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",2002,24,170,0.1,68,11.5,2.5,14.78,2002-12-31
"20","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",2002,25,169,-0.06,73,-11.3,2.32,0,2002-12-31
"21","Clippers","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png",2003,24,205,0.14,NA,16.3,NA,12.58,2003-12-31
"22","Nets","http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/400px-Brooklyn_Nets_newlogo.svg.png",2003,18,218,0.1,NA,4.5,NA,48.44,2003-12-31
