,hometown,longitude,latitude
1,"Abbeville, AL, USA",-85.2504893,31.5718352
2,"Aberdeen, MS, USA",-88.5436553,33.8251139
3,"Aberdeen, WA, USA",-123.8157218,46.9753708
4,"Abilene, TX, USA",-99.7331439,32.4487364
5,"Abington, PA, USA",-75.1253492,40.1198332
7,"Adelaide, Australia",138.5999594,-34.9286212
8,"Afton, WY, USA",-110.9318687,42.7249282
9,"Ahvaz, Islamic Republic of Iran",48.68438,31.31671
10,"Akron, OH, USA",-81.5190053,41.0814447
11,"Alamogordo, NM, USA",-105.960265,32.8995325
12,"Albany, GA, USA",-84.155741,31.5785074
13,"Albany, NY, USA",-73.7562317,42.6525793
14,"Albonito, Puerto Rico",-66.2634928,18.1385654
15,"Alexandria, LA, USA",-92.4451371,31.3112936
16,"Alexandria, VA, USA",-77.0469214,38.8048355
17,"Aliquippa, PA, USA",-80.2621852,40.615537
18,"Allentown, PA, USA",-75.4901833,40.6084305
19,"Altheimer, AR, USA",-91.8473565,34.3192636
20,"Altoona, PA, USA",-78.3947359,40.5186809
21,"Ambridge, PA, USA",-80.22506,40.5892339
22,"Amelia, VA, USA",-77.973865,37.3212714
23,"American Falls, ID, USA",-112.8544377,42.7860226
24,"Ames, IA, USA",-93.625622,42.02335
25,"Amherst, VA, USA",-79.0514134,37.5851412
26,"Anchorage, AK, USA",-149.9002778,61.2180556
27,"Andalusia, AL, USA",-86.4832913,31.3085039
28,"Anderson, IN, USA",-85.6802541,40.1053196
29,"Anderson, SC, USA",-82.6501332,34.5034394
30,"Angola, NY, USA",-79.0278156,42.6383925
31,"Anguila, MS, USA",-90.8245437,32.9740155
32,"Ann Arbor, MI, USA",-83.7430378,42.2808256
33,"Anniston, AL, USA",-85.8316318,33.6598257
34,"Apatin, Serbia",18.983061,45.666382
35,"Arcadia, CA, USA",-118.0353449,34.1397292
36,"Arco, ID, USA",-113.3002844,43.6365693
37,"Ardmore, PA, USA",-75.2854622,40.0067785
38,"Ark City, KS, USA",-97.0383712,37.0619736
39,"Arlington Heights, IL, USA",-87.9806265,42.0883603
40,"Aschaffenburg, Germany",9.1355554,49.9806625
41,"Asheville, NC, USA",-82.5514869,35.5950581
