Player_Name,Draft_Year,Player_Combine_Year,Player_Height_WO_Shoes,Player_Height_WO_Shoes_Inches,Player_Height_W_Shoes,Player_Height_W_Shoes_Inches,Player_Height,Player_Height_Inches,Player_Weight_LBS,Player_Wingspan,Player_Wingspan_Inches,Player_Reach,Player_Reach_Inches,Player_Bodyfat_Percent,Player_Hand_Length_Inches,Player_Hand_Width_Inches,Player_Vertical_No_Step,Player_Vertical_No_Step_Reach,Player_Vertical_No_Step_Reach_Inches,Player_Max_Vertical_Inches,Player_Max_Vertical_Reach,Player_Max_Vertical_Reach_Inches,Player_Bench_225,Player_Agility_Seconds,Player_Sprint_Three_Quarter_Court,Player_Rank,Pick,Player_DraftExpress_Profile,Player_DraftExpress_Stats,Player_DBPedia_URL,Player_DBPedia_Data,ID.Pick,Round,Round.Pick,Pick_2,Draft_Franchise,Postdraft_Franchise,Player_Drafted_From,Player_Birthday
A.D. Vassallo,2009,2009,"6'5.5""",77.5,"6'6.75""",78.75,6.562497375,78.75,233,"6'10.25""",82.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.D.-Vassallo-1083/,draftexpress.com/profile/A.D.-Vassallo-1083/stats,live.dbpedia.org/page/A.D._Vassallo,live.dbpedia.org/data/A.D._Vassallo.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Abrams,2009,2009,"5'11""",71,"6'0""",72,5.9999976,72,156,"6'2""",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.J.-Abrams-5524/,draftexpress.com/profile/A.J.-Abrams-5524/stats,live.dbpedia.org/page/A.J._Abrams,live.dbpedia.org/data/A.J._Abrams.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Davis,2013,2013,"6'4""",76,NA,NA,6.43333076,77.2,203,"6'9""",81,"8'7""",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.J.-Davis-20868/,draftexpress.com/profile/A.J.-Davis-20868/stats,live.dbpedia.org/page/A.J._Davis,live.dbpedia.org/data/A.J._Davis.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Granger,2000,2000,"6'7.5""",79.5,"6'8.88""",80.88,6.739997304,80.88,227,"6'9.5""",81.5,"8'7""",103,NA,NA,NA,30,"11'1""",133,34,"11'5""",137,20,10.73,3.25,6,NA,draftexpress.com/profile/A.G.-Granger-35359/,draftexpress.com/profile/A.G.-Granger-35359/stats,live.dbpedia.org/page/A.J._Granger,live.dbpedia.org/data/A.J._Granger.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Graves,2008,2008,"6'0""",72,"6'1.5""",73.5,6.12499755,73.5,155,"6'1.5""",73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.J.-Graves-1264/,draftexpress.com/profile/A.J.-Graves-1264/stats,live.dbpedia.org/page/A.J._Graves,live.dbpedia.org/data/A.J._Graves.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Guyton,2000,2000,"6'0.75""",72.75,"6'1.5""",73.5,6.12499755,73.5,175,"6'3.75""",75.75,"8'1.5""",97.5,NA,NA,NA,33,"10'10.5""",130.5,37.5,"11'3""",135,9,10.55,3.22,8,32,draftexpress.com/profile/A.j.-Guyton-2670/,draftexpress.com/profile/A.j.-Guyton-2670/stats,live.dbpedia.org/page/A.J._Guyton,live.dbpedia.org/data/A.J._Guyton.json,2.3,2,3,32,Bulls,Bulls,Indiana,2/13/78
A.J. Hammons,2011,2011,NA,NA,"7'0""",84,6.9999972,84,278,"7'3""",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.J.-Hammons-7070/,draftexpress.com/profile/A.J.-Hammons-7070/stats,live.dbpedia.org/page/A.J._Hammons,live.dbpedia.org/data/A.J._Hammons.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Matthews,2013,2013,"6'9.5""",81.5,"6'11""",83,6.9166639,83,213,"7'3.5""",87.5,"9'1.5""",109.5,0.046,8.5,10,28,"11'5.5""",137.5,33,"11'10.5""",142.5,13,12.42,3.44,NA,NA,draftexpress.com/profile/A.J.-Matthews-7224/,draftexpress.com/profile/A.J.-Matthews-7224/stats,live.dbpedia.org/page/A.J._Matthews,live.dbpedia.org/data/A.J._Matthews.json,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Price,2009,2009,"6'0.5""",72.5,"6'2""",74,6.1666642,74,193,"6'3.75""",75.75,"8'1""",97,0.124,NA,NA,26,"10'3""",123,31,"10'8""",128,11,10.99,3.22,NA,52,draftexpress.com/profile/A.J.-Price-68/,draftexpress.com/profile/A.J.-Price-68/stats,live.dbpedia.org/page/A.J._Price,live.dbpedia.org/data/A.J._Price.json,2.22,2,22,52,Pacers,Pacers,Connecticut,10/7/86
A.J. Slaughter,2010,2010,"6'1""",73,NA,NA,6.18333086,74.2,174,"6'4""",76,"8'0.25""",96.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/A.J.-Slaughter-5865/,draftexpress.com/profile/A.J.-Slaughter-5865/stats,live.dbpedia.org/page/A.J._Slaughter,live.dbpedia.org/data/A.J._Slaughter.json,NA,NA,NA,NA,NA,NA,NA,NA
