"","player","league","team","player_off_roster_13_14","season","id_contract_type","salary","agency","agent","salary_amnesty"
"1","Aaron Brooks","nba","Kings",TRUE,"2013-2014","G",674194,"Creative Artists Agency","Leon Rose",FALSE
"2","Aaron Brooks","nba","Rockets",FALSE,"2013-2014","G",884293,"Creative Artists Agency","Leon Rose",FALSE
"3","Aaron Gray","nba","Raptors",FALSE,"2013-2014","G",2690875,"ASM Sports","Andy Miller",FALSE
"4","Al Harrington","nba","Wizards",FALSE,"2013-2014","G",884293,"Relativity Sports","Dan Fegan",FALSE
"5","Al Harrington","nba","Magic",TRUE,"2013-2014","G",3574300,"Relativity Sports","Dan Fegan",FALSE
"6","Al Harrington","nba","Magic",TRUE,"2014-2015","G",3804900,"Relativity Sports","Dan Fegan",FALSE
"7","Al Horford","nba","Hawks",FALSE,"2014-2015","G",12000000,"Wasserman Media Group","Arn Tellem",FALSE
"8","Al Horford","nba","Hawks",FALSE,"2013-2014","G",12000000,"Wasserman Media Group","Arn Tellem",FALSE
"9","Al Horford","nba","Hawks",FALSE,"2015-2016","G",12000000,"Wasserman Media Group","Arn Tellem",FALSE
"10","Al Jefferson","nba","Bobcats",FALSE,"2013-2014","G",13500000,"Excel Sports Management","Jeff Schwartz",FALSE
"11","Al Jefferson","nba","Bobcats",FALSE,"2014-2015","G",13500000,"Excel Sports Management","Jeff Schwartz",FALSE
"12","Al Jefferson","nba","Bobcats",FALSE,"2015-2016","PO",13500000,"Excel Sports Management","Jeff Schwartz",FALSE
"13","Al-Farouq Aminu","nba","Pelicans",FALSE,"2013-2014","G",3749602,"IAM Sports","Raymond Brothers",FALSE
"14","Alan Anderson","nba","Nets",FALSE,"2014-2015","PO",1063384,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"15","Alan Anderson","nba","Nets",FALSE,"2013-2014","G",947907,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"16","Alec Burks","nba","Jazz",FALSE,"2013-2014","G",2202000,"ASM Sports","Andy Miller",FALSE
"17","Alec Burks","nba","Jazz",FALSE,"2015-2016","QO",4175274,"ASM Sports","Andy Miller",FALSE
"18","Alec Burks","nba","Jazz",FALSE,"2014-2015","TO",3034356,"ASM Sports","Andy Miller",FALSE
"19","Alex Len","nba","Suns",FALSE,"2016-2017","TO",4823621,"Zucker International","Guy Zucker",FALSE
"20","Alex Len","nba","Suns",FALSE,"2014-2015","G",3649920,"Zucker International","Guy Zucker",FALSE
"21","Alex Len","nba","Suns",FALSE,"2017-2018","QO",6396121,"Zucker International","Guy Zucker",FALSE
"22","Alex Len","nba","Suns",FALSE,"2013-2014","G",3492720,"Zucker International","Guy Zucker",FALSE
"23","Alex Len","nba","Suns",FALSE,"2015-2016","TO",3807120,"Zucker International","Guy Zucker",FALSE
"24","Alexey Shved","nba","Timberwolves",FALSE,"2014-2015","G",3282056,"Alti Sport","Obrad Fimic",FALSE
"25","Alexey Shved","nba","Timberwolves",FALSE,"2013-2014","G",3150000,"Alti Sport","Obrad Fimic",FALSE
"26","Alexey Shved","nba","Timberwolves",FALSE,"2015-2016","QO",4102570,"Alti Sport","Obrad Fimic",FALSE
"27","Allen Crabbe","nba","Trail Blazers",FALSE,"2013-2014","G",825000,"Excel Sports Management","Sam Goldfeder",FALSE
"28","Allen Crabbe","nba","Trail Blazers",FALSE,"2015-2016","U",947276,"Excel Sports Management","Sam Goldfeder",FALSE
"29","Allen Crabbe","nba","Trail Blazers",FALSE,"2014-2015","G",862000,"Excel Sports Management","Sam Goldfeder",FALSE
"30","Allen Crabbe","nba","Trail Blazers",FALSE,"2016-2017","QO",1215696,"Excel Sports Management","Sam Goldfeder",FALSE
"31","Alonzo Gee","nba","Cavaliers",FALSE,"2014-2015","U",3000000,"Relativity Sports","Happy Walters",FALSE
