league,team,player,player_off_roster_13_14,season,id_contract_type,salary
nba,Bobcats,Al Jefferson,FALSE,2013-2014,G,13500000
nba,Bobcats,Ben Gordon,FALSE,2013-2014,G,13200000
nba,Bobcats,Gerald Henderson,FALSE,2013-2014,G,6000000
nba,Bobcats,Ramon Sessions,FALSE,2013-2014,G,5000000
nba,Bobcats,Michael Kidd-Gilchrist,FALSE,2013-2014,G,4809840
nba,Bobcats,Cody Zeller,FALSE,2013-2014,G,3857040
nba,Bobcats,Bismack Biyombo,FALSE,2013-2014,G,3049920
nba,Bobcats,Josh McRoberts,FALSE,2013-2014,G,2652000
nba,Bobcats,Kemba Walker,FALSE,2013-2014,G,2568360
nba,Bobcats,Brendan Haywood,FALSE,2013-2014,G,2050000
nba,Bobcats,Jeff Adrien,FALSE,2013-2014,U,916099
nba,Bobcats,Jannero Pargo,FALSE,2013-2014,U,884293
nba,Bobcats,Anthony Tolliver,FALSE,2013-2014,G,884293
nba,Bobcats,Jeffery Taylor,FALSE,2013-2014,G,788872
nba,Bobcats,Al Jefferson,FALSE,2014-2015,G,13500000
nba,Bobcats,Gerald Henderson,FALSE,2014-2015,G,6000000
nba,Bobcats,Michael Kidd-Gilchrist,FALSE,2014-2015,TO,5016960
nba,Bobcats,Cody Zeller,FALSE,2014-2015,G,4030560
nba,Bobcats,Bismack Biyombo,FALSE,2014-2015,TO,3873398
nba,Bobcats,Josh McRoberts,FALSE,2014-2015,PO,2771340
nba,Bobcats,Kemba Walker,FALSE,2014-2015,TO,3272091
nba,Bobcats,Brendan Haywood,FALSE,2014-2015,G,2213688
nba,Bobcats,Jeffery Taylor,FALSE,2014-2015,U,915243
nba,Bobcats,Al Jefferson,FALSE,2015-2016,PO,13500000
nba,Bobcats,Gerald Henderson,FALSE,2015-2016,PO,6000000
nba,Bobcats,Michael Kidd-Gilchrist,FALSE,2015-2016,TO,6331404
nba,Bobcats,Cody Zeller,FALSE,2015-2016,TO,4204200
nba,Bobcats,Bismack Biyombo,FALSE,2015-2016,QO,5194227
nba,Bobcats,Kemba Walker,FALSE,2015-2016,QO,4433683
nba,Bobcats,Brendan Haywood,FALSE,2015-2016,U,10522500
nba,Bobcats,Jeffery Taylor,FALSE,2015-2016,QO,1181348
nba,Bobcats,Michael Kidd-Gilchrist,FALSE,2016-2017,QO,8262482
nba,Bobcats,Cody Zeller,FALSE,2016-2017,TO,5318313
nba,Bobcats,Cody Zeller,FALSE,2017-2018,QO,7014855
nba,Bucks,Caron Butler,FALSE,2013-2014,G,8000000
nba,Bucks,O.J. Mayo,FALSE,2013-2014,G,8000000
nba,Bucks,Ersan Ilyasova,FALSE,2013-2014,G,7900000
nba,Bucks,Zaza Pachulia,FALSE,2013-2014,G,5200000
nba,Bucks,Ekpe Udoh,FALSE,2013-2014,G,4469548
nba,Bucks,Luke Ridnour,FALSE,2013-2014,G,4420000
nba,Bucks,Carlos Delfino,FALSE,2013-2014,G,3250000
nba,Bucks,Gary Neal,FALSE,2013-2014,G,3250000
nba,Bucks,Larry Sanders,FALSE,2013-2014,G,3053368
nba,Bucks,Brandon Knight,FALSE,2013-2014,G,2793960
nba,Bucks,John Henson,FALSE,2013-2014,G,1905360
nba,Bucks,Giannis Antetokounmpo,FALSE,2013-2014,G,1792560
nba,Bucks,Miroslav Raduljica,FALSE,2013-2014,G,1500000
nba,Bucks,Khris Middleton,FALSE,2013-2014,G,788872
nba,Bucks,Nate Wolters,FALSE,2013-2014,G,500000
nba,Bucks,O.J. Mayo,FALSE,2014-2015,G,8000000
nba,Bucks,Ersan Ilyasova,FALSE,2014-2015,G,7900000
nba,Bucks,Zaza Pachulia,FALSE,2014-2015,G,5200000
nba,Bucks,Ekpe Udoh,FALSE,2014-2015,QO,5962377
nba,Bucks,Carlos Delfino,FALSE,2014-2015,G,3250000
nba,Bucks,Gary Neal,FALSE,2014-2015,G,3250000
nba,Bucks,Larry Sanders,FALSE,2014-2015,G,11000000
nba,Bucks,Brandon Knight,FALSE,2014-2015,TO,3553917
nba,Bucks,John Henson,FALSE,2014-2015,TO,1987320
nba,Bucks,Giannis Antetokounmpo,FALSE,2014-2015,G,1873200
nba,Bucks,Miroslav Raduljica,FALSE,2014-2015,G,1500000
nba,Bucks,Khris Middleton,FALSE,2014-2015,U,915243
nba,Bucks,Nate Wolters,FALSE,2014-2015,G,816482
nba,Bucks,O.J. Mayo,FALSE,2015-2016,G,8000000
nba,Bucks,Ersan Ilyasova,FALSE,2015-2016,G,7900000
nba,Bucks,Zaza Pachulia,FALSE,2015-2016,G,5200000
nba,Bucks,Carlos Delfino,FALSE,2015-2016,U,3250000
nba,Bucks,Larry Sanders,FALSE,2015-2016,G,11000000
nba,Bucks,Brandon Knight,FALSE,2015-2016,QO,4790680
nba,Bucks,John Henson,FALSE,2015-2016,TO,2943221
nba,Bucks,Giannis Antetokounmpo,FALSE,2015-2016,TO,1953960
nba,Bucks,Miroslav Raduljica,FALSE,2015-2016,U,1567500
nba,Bucks,Khris Middleton,FALSE,2015-2016,QO,1181348
nba,Bucks,Nate Wolters,FALSE,2015-2016,U,947276
nba,Bucks,Ersan Ilyasova,FALSE,2016-2017,U,8400000
nba,Bucks,Larry Sanders,FALSE,2016-2017,G,11000000
nba,Bucks,John Henson,FALSE,2016-2017,QO,4094020
nba,Bucks,Giannis Antetokounmpo,FALSE,2016-2017,TO,2995421
nba,Bucks,Miroslav Raduljica,FALSE,2016-2017,QO,1959375
nba,Bucks,Nate Wolters,FALSE,2016-2017,QO,1215696
nba,Bucks,Larry Sanders,FALSE,2017-2018,G,11000000
nba,Bucks,Giannis Antetokounmpo,FALSE,2017-2018,QO,4187598
nba,Bulls,Derrick Rose,FALSE,2013-2014,G,17632688
nba,Bulls,Carlos Boozer,FALSE,2013-2014,G,15300000
nba,Bulls,Luol Deng,FALSE,2013-2014,G,14275000
nba,Bulls,Joakim Noah,FALSE,2013-2014,G,11100000
nba,Bulls,Taj Gibson,FALSE,2013-2014,G,7550000
nba,Bulls,Kirk Hinrich,FALSE,2013-2014,G,4059000
nba,Bulls,Mike Dunleavy Jr,FALSE,2013-2014,G,3183000
nba,Bulls,Tony Snell,FALSE,2013-2014,G,1409040
nba,Bulls,Jimmy Butler,FALSE,2013-2014,G,1112880
nba,Bulls,Marquis Teague,FALSE,2013-2014,G,1074720
nba,Bulls,Nazr Mohammed,FALSE,2013-2014,G,884293
nba,Bulls,Patrick Christopher,FALSE,2013-2014,U,490180
nba,Bulls,Kalin Lucas,FALSE,2013-2014,U,490180
nba,Bulls,Erik Murphy,FALSE,2013-2014,U,490180
nba,Bulls,Richard Hamilton,TRUE,2013-2014,G,333334
nba,Bulls,Derrick Rose,FALSE,2014-2015,G,18862876
nba,Bulls,Carlos Boozer,FALSE,2014-2015,G,16800000
nba,Bulls,Joakim Noah,FALSE,2014-2015,G,12200000
nba,Bulls,Taj Gibson,FALSE,2014-2015,G,8000000
nba,Bulls,Mike Dunleavy Jr,FALSE,2014-2015,G,3326235
nba,Bulls,Tony Snell,FALSE,2014-2015,G,1472400
nba,Bulls,Jimmy Butler,FALSE,2014-2015,TO,2008748
nba,Bulls,Marquis Teague,FALSE,2014-2015,TO,1120920
nba,Bulls,Patrick Christopher,FALSE,2014-2015,QO,1016482
nba,Bulls,Kalin Lucas,FALSE,2014-2015,QO,1016482
nba,Bulls,Erik Murphy,FALSE,2014-2015,U,816482
nba,Bulls,Richard Hamilton,TRUE,2014-2015,G,333334
nba,Bulls,Derrick Rose,FALSE,2015-2016,G,20093064
nba,Bulls,Joakim Noah,FALSE,2015-2016,G,13400000
nba,Bulls,Taj Gibson,FALSE,2015-2016,G,8500000
nba,Bulls,Tony Snell,FALSE,2015-2016,TO,1535880
nba,Bulls,Jimmy Butler,FALSE,2015-2016,QO,3013123
nba,Bulls,Marquis Teague,FALSE,2015-2016,TO,2023261
nba,Bulls,Erik Murphy,FALSE,2015-2016,QO,1147276
nba,Bulls,Richard Hamilton,TRUE,2015-2016,G,333334
nba,Bulls,Derrick Rose,FALSE,2016-2017,G,21323252
nba,Bulls,Taj Gibson,FALSE,2016-2017,G,8950000
nba,Bulls,Tony Snell,FALSE,2016-2017,TO,2368327
nba,Bulls,Marquis Teague,FALSE,2016-2017,QO,3034891
nba,Bulls,Tony Snell,FALSE,2017-2018,QO,3393813
nba,Cavaliers,Andrew Bynum,FALSE,2013-2014,U,12250000
nba,Cavaliers,Anderson Varejao,FALSE,2013-2014,G,9036364
nba,Cavaliers,Jarrett Jack,FALSE,2013-2014,G,6300000
nba,Cavaliers,Kyrie Irving,FALSE,2013-2014,G,5607240
nba,Cavaliers,Anthony Bennett,FALSE,2013-2014,G,5324280
nba,Cavaliers,Earl Clark,FALSE,2013-2014,G,4250000
nba,Cavaliers,Tristan Thompson,FALSE,2013-2014,G,4062000
nba,Cavaliers,Dion Waiters,FALSE,2013-2014,G,3894240
nba,Cavaliers,Alonzo Gee,FALSE,2013-2014,G,3250000
nba,Cavaliers,C.J. Miles,FALSE,2013-2014,G,2225000
nba,Cavaliers,Tyler Zeller,FALSE,2013-2014,G,1633440
nba,Cavaliers,Sergey Karasev,FALSE,2013-2014,G,1467840
nba,Cavaliers,Carrick Felix,FALSE,2013-2014,G,510000
nba,Cavaliers,Matthew Dellavedova,FALSE,2013-2014,U,490180
nba,Cavaliers,Andrew Bynum,FALSE,2014-2015,U,12540000
nba,Cavaliers,Anderson Varejao,FALSE,2014-2015,U,9704545
nba,Cavaliers,Jarrett Jack,FALSE,2014-2015,G,6300000
nba,Cavaliers,Kyrie Irving,FALSE,2014-2015,TO,7070730
nba,Cavaliers,Anthony Bennett,FALSE,2014-2015,G,5563920
nba,Cavaliers,Earl Clark,FALSE,2014-2015,U,4250000
nba,Cavaliers,Tristan Thompson,FALSE,2014-2015,TO,5138430
nba,Cavaliers,Dion Waiters,FALSE,2014-2015,TO,4062000
nba,Cavaliers,Alonzo Gee,FALSE,2014-2015,U,3000000
nba,Cavaliers,Tyler Zeller,FALSE,2014-2015,TO,1703760
nba,Cavaliers,Sergey Karasev,FALSE,2014-2015,G,1533840
nba,Cavaliers,Carrick Felix,FALSE,2014-2015,U,816482
nba,Cavaliers,Matthew Dellavedova,FALSE,2014-2015,G,816482
nba,Cavaliers,Jarrett Jack,FALSE,2015-2016,QO,6300000
nba,Cavaliers,Kyrie Irving,FALSE,2015-2016,QO,9191949
