team,player,player_off_roster,player_option_year,notes,season,qualifying_salary
Bobcats,Ben Gordon,FALSE,FALSE,"Max salary, 10 or more years of service - to be adjusted when 2014 max is calculated",2014-2015,19181750
Bobcats,Ramon Sessions,FALSE,FALSE,130% of previous salary,2014-2015,6500000
Bobcats,Josh McRoberts,FALSE,TRUE,190% of previous salary,2014-2015,5038800
Bobcats,Michael Kidd-Gilchrist,FALSE,TRUE,What his salary would have been were his third year option exercised,2014-2015,5016960
Bobcats,Bismack Biyombo,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,3873398
Bobcats,Kemba Walker,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,3272091
Bobcats,Jeff Adrien,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Bobcats,Jannero Pargo,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Bobcats,Anthony Tolliver,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Bucks,Marquis Daniels,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Bucks,Caron Butler,FALSE,FALSE,150% of previous salary,2014-2015,12000000
Bucks,Ekpe Udoh,FALSE,FALSE,250% of previous salary,2014-2015,11173870
Bucks,Luke Ridnour,FALSE,FALSE,190% of previous salary,2014-2015,8208000
Bucks,Brandon Knight,FALSE,TRUE,What his rookie scale salary would have been were his fourth year option exercised,2014-2015,3553917
Bucks,John Henson,FALSE,TRUE,What his salary would have been were his fourth year option exercised,2014-2015,1987320
Bucks,Marquis Daniels,TRUE,FALSE,Two year veteran's minimum,2014-2015,915243
Bulls,Nikola Mirotic,TRUE,FALSE,100% of rookie salary scale for that pick (offseason only),2013-2014,1038900
Bulls,Daequan Cook,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Bulls,Vladimir Radmanovic,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Bulls,Brian Scalabrine,TRUE,FALSE,Two year veteran's minimum,2013-2014,884293
Bulls,Luol Deng,FALSE,FALSE,"Max salary, 10 or more years of service - to be adjusted when 2014 max is calculated",2014-2015,19181750
Bulls,Kirk Hinrich,FALSE,FALSE,130% of previous salary,2014-2015,5276700
Bulls,Jimmy Butler,FALSE,TRUE,What his contract would have been were his fourth year option exercised,2014-2015,2008748
Bulls,Marquis Teague,FALSE,TRUE,What his contract would have been were his third year option exercised,2014-2015,1120920
Bulls,Patrick Christopher,FALSE,FALSE,"QO - cap hold to be $816,482 (one year veteran's minimum) if no QO offered",2014-2015,1016482
Bulls,Kalin Lucas,FALSE,FALSE,"QO - cap hold to be $816,482 (one year veteran's minimum) if no QO offered",2014-2015,1016482
Bulls,Nazr Mohammmed,FALSE,FALSE,Two year veteran's minimum,2014-2015,915243
Bulls,Nikola Mirotic,TRUE,FALSE,100% of rookie salary scale for that pick (offseason only),2014-2015,1075300
