team,player,player_off_roster_13,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,total
Bobcats,Al Jefferson,FALSE,13500000,13500000,13500000,NA,NA,NA,40500000
Bobcats,Ben Gordon,FALSE,13200000,NA,NA,NA,NA,NA,13200000
Bobcats,Gerald Henderson,FALSE,6000000,6000000,6000000,NA,NA,NA,18000000
Bobcats,Ramon Sessions,FALSE,5000000,NA,NA,NA,NA,NA,5000000
Bobcats,Michael Kidd-Gilchrist,FALSE,4809840,5016960,6331404,8262482,NA,NA,16158204
Bobcats,Cody Zeller,FALSE,3857040,4030560,4204200,5318313,7014855,NA,17410113
Bobcats,Bismack Biyombo,FALSE,3049920,3873398,5194227,NA,NA,NA,6923318
Bobcats,Josh McRoberts,FALSE,2652000,2771340,NA,NA,NA,NA,5423340
Bobcats,Kemba Walker,FALSE,2568360,3272091,4433683,NA,NA,NA,5840451
Bobcats,Brendan Haywood,FALSE,2050000,2213688,10522500,NA,NA,NA,14786188
Bobcats,Jeff Adrien,FALSE,916099,NA,NA,NA,NA,NA,916099
Bobcats,Jannero Pargo,FALSE,884293,NA,NA,NA,NA,NA,884293
Bobcats,Anthony Tolliver,FALSE,884293,NA,NA,NA,NA,NA,884293
Bobcats,Jeffrey Taylor,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Bucks,Caron Butler,FALSE,8000000,NA,NA,NA,NA,NA,8000000
Bucks,O.J. Mayo,FALSE,8000000,8000000,8000000,NA,NA,NA,24000000
Bucks,Ersan Ilyasova,FALSE,7900000,7900000,7900000,8400000,NA,NA,32100000
Bucks,Zaza Pachulia,FALSE,5200000,5200000,5200000,NA,NA,NA,15600000
Bucks,Ekpe Udoh,FALSE,4469548,5962377,NA,NA,NA,NA,4469548
Bucks,Luke Ridnour,FALSE,4420000,NA,NA,NA,NA,NA,4420000
Bucks,Carlos Delfino,FALSE,3250000,3250000,3250000,NA,NA,NA,9750000
Bucks,Gary Neal,FALSE,3250000,3250000,NA,NA,NA,NA,6500000
