season,team_id,player_name,league,age,games_played,min_pg,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,fg_pct,3pt_pct,ft_pct,ws,ws_per48,winner_tie,team_season_url
1952-53,FTW,Monk Meineke,NBA,22,68,33.1,10.7,6.9,2.2,,,0.381,,0.783,6.1,0.13,FALSE,http://www.basketball-reference.com//teams/FTW/1953.html
1953-54,BLB,Ray Felix,NBA,23,72,37.1,17.6,13.3,1.1,,,0.417,,0.638,8.6,0.155,FALSE,http://www.basketball-reference.com//teams/BLB/1954.html
1954-55,MLH,Bob Pettit,NBA,22,72,36.9,20.4,13.8,3.2,,,0.407,,0.751,10.7,0.194,FALSE,http://www.basketball-reference.com//teams/MLH/1955.html
1955-56,ROC,Maurice Stokes,NBA,22,67,34.7,16.8,16.3,4.9,,,0.354,,0.714,6,0.125,FALSE,http://www.basketball-reference.com//teams/ROC/1956.html
1956-57,BOS,Tom Heinsohn,NBA,22,72,29.9,16.2,9.8,1.6,,,0.397,,0.79,7.1,0.16,FALSE,http://www.basketball-reference.com//teams/BOS/1957.html
1957-58,PHW,Woody Sauldsberry,NBA,23,71,33.5,12.8,10.3,0.8,,,0.36,,0.615,0.3,0.007,FALSE,http://www.basketball-reference.com//teams/PHW/1958.html
1958-59,MNL,Elgin Baylor,NBA,24,70,40.8,24.9,15,4.1,,,0.408,,0.777,9.8,0.165,FALSE,http://www.basketball-reference.com//teams/MNL/1959.html
1959-60,PHW,Wilt Chamberlain,NBA,23,72,46.4,37.6,27,2.3,,,0.461,,0.582,17,0.245,FALSE,http://www.basketball-reference.com//teams/PHW/1960.html
1960-61,CIN,Oscar Robertson,NBA,22,71,42.7,30.5,10.1,9.7,,,0.473,,0.822,13.2,0.21,FALSE,http://www.basketball-reference.com//teams/CIN/1961.html
1961-62,CHP,Walt Bellamy,NBA,22,79,42.3,31.6,19,2.7,,,0.519,,0.644,16.3,0.233,FALSE,http://www.basketball-reference.com//teams/CHP/1962.html
1962-63,CHZ,Terry Dischinger,NBA,22,57,40.2,25.5,8,3.1,,,0.512,,0.77,9.2,0.192,FALSE,http://www.basketball-reference.com//teams/CHZ/1963.html
1963-64,CIN,Jerry Lucas,NBA,23,79,41.4,17.7,17.4,2.6,,,0.527,,0.779,12.7,0.187,FALSE,http://www.basketball-reference.com//teams/CIN/1964.html
1964-65,NYK,Willis Reed,NBA,22,80,38,19.5,14.7,1.7,,,0.432,,0.742,5.5,0.087,FALSE,http://www.basketball-reference.com//teams/NYK/1965.html
1965-66,SFW,Rick Barry,NBA,21,80,37.4,25.7,10.6,2.2,,,0.439,,0.862,10.4,0.167,FALSE,http://www.basketball-reference.com//teams/SFW/1966.html
1966-67,DET,Dave Bing,NBA,23,80,34.5,20,4.5,4.1,,,0.436,,0.738,5.3,0.092,FALSE,http://www.basketball-reference.com//teams/DET/1967.html
1967-68,BAL,Earl Monroe,NBA,23,82,36.7,24.3,5.7,4.3,,,0.453,,0.781,9.3,0.148,FALSE,http://www.basketball-reference.com//teams/BAL/1968.html
1968-69,BAL,Wes Unseld,NBA,22,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175,FALSE,http://www.basketball-reference.com//teams/BAL/1969.html
1969-70,MIL,Kareem Abdul-Jabbar,NBA,22,82,43.1,28.8,14.5,4.1,,,0.518,,0.653,13.8,0.187,FALSE,http://www.basketball-reference.com//teams/MIL/1970.html
1970-71,BOS,Dave Cowens,NBA,22,81,38,17,15,2.8,,,0.422,,0.732,6.4,0.1,TRUE,http://www.basketball-reference.com//teams/BOS/1971.html
1970-71,POR,Geoff Petrie,NBA,22,82,37,24.8,3.4,4.8,,,0.443,,0.772,6.2,0.099,TRUE,http://www.basketball-reference.com//teams/POR/1971.html
1971-72,POR,Sidney Wicks,NBA,22,82,39.6,24.5,11.5,4.3,,,0.427,,0.71,2.3,0.034,FALSE,http://www.basketball-reference.com//teams/POR/1972.html
1972-73,BUF,Bob McAdoo,NBA,21,80,32,18,9.1,1.7,,,0.452,,0.774,3.8,0.071,FALSE,http://www.basketball-reference.com//teams/BUF/1973.html
1973-74,BUF,Ernie DiGregorio,NBA,23,81,35.9,15.2,2.7,8.2,0.7,0.1,0.421,,0.902,1.2,0.021,FALSE,http://www.basketball-reference.com//teams/BUF/1974.html
1974-75,GSW,Jamaal Wilkes,NBA,21,82,30.7,14.2,8.2,2.2,1.3,0.3,0.442,,0.734,5.1,0.097,FALSE,http://www.basketball-reference.com//teams/GSW/1975.html
1975-76,PHO,Alvan Adams,NBA,21,80,33.2,19,9.1,5.6,1.5,1.5,0.469,,0.735,7.2,0.13,FALSE,http://www.basketball-reference.com//teams/PHO/1976.html
1976-77,BUF,Adrian Dantley,NBA,20,77,36.6,20.3,7.6,1.9,1.2,0.2,0.52,,0.818,9.8,0.167,FALSE,http://www.basketball-reference.com//teams/BUF/1977.html
1977-78,PHO,Walter Davis,NBA,23,81,32,24.2,6,3.4,1.4,0.2,0.526,,0.83,10.1,0.187,FALSE,http://www.basketball-reference.com//teams/PHO/1978.html
1978-79,KCK,Phil Ford,NBA,22,79,34.5,15.9,2.3,8.6,2.2,0.1,0.465,,0.813,5.7,0.101,FALSE,http://www.basketball-reference.com//teams/KCK/1979.html
1979-80,BOS,Larry Bird,NBA,23,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,FALSE,http://www.basketball-reference.com//teams/BOS/1980.html
1980-81,UTA,Darrell Griffith,NBA,22,81,35.4,20.6,3.6,2.4,1.3,0.5,0.464,0.192,0.716,0.4,0.006,FALSE,http://www.basketball-reference.com//teams/UTA/1981.html
1981-82,NJN,Buck Williams,NBA,21,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152,FALSE,http://www.basketball-reference.com//teams/NJN/1982.html
1982-83,SDC,Terry Cummings,NBA,21,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164,FALSE,http://www.basketball-reference.com//teams/SDC/1983.html
1983-84,HOU,Ralph Sampson,NBA,23,82,32.8,21,11.1,2,0.9,2.4,0.523,0.25,0.661,6,0.108,FALSE,http://www.basketball-reference.com//teams/HOU/1984.html
1984-85,CHI,Michael Jordan,NBA,21,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,FALSE,http://www.basketball-reference.com//teams/CHI/1985.html
1985-86,NYK,Patrick Ewing,NBA,23,50,35.4,20,9,2,1.1,2.1,0.474,0,0.739,3.1,0.084,FALSE,http://www.basketball-reference.com//teams/NYK/1986.html
1986-87,IND,Chuck Person,NBA,22,82,36,18.8,8.3,3.6,1.1,0.2,0.468,0.355,0.747,5.4,0.088,FALSE,http://www.basketball-reference.com//teams/IND/1987.html
1987-88,NYK,Mark Jackson,NBA,22,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113,FALSE,http://www.basketball-reference.com//teams/NYK/1988.html
1988-89,GSW,Mitch Richmond,NBA,23,79,34.4,22,5.9,4.2,1,0.2,0.468,0.367,0.81,5.6,0.098,FALSE,http://www.basketball-reference.com//teams/GSW/1989.html
1989-90,SAS,David Robinson,NBA,24,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,FALSE,http://www.basketball-reference.com//teams/SAS/1990.html
1990-91,NJN,Derrick Coleman,NBA,23,74,35.2,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,5.8,0.108,FALSE,http://www.basketball-reference.com//teams/NJN/1991.html
1991-92,CHH,Larry Johnson,NBA,22,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14,FALSE,http://www.basketball-reference.com//teams/CHH/1992.html
1992-93,ORL,Shaquille O'Neal,NBA,20,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,FALSE,http://www.basketball-reference.com//teams/ORL/1993.html
1993-94,GSW,Chris Webber,NBA,20,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0,0.532,7.8,0.154,FALSE,http://www.basketball-reference.com//teams/GSW/1994.html
1994-95,DAL,Jason Kidd,NBA,21,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,TRUE,http://www.basketball-reference.com//teams/DAL/1995.html
1994-95,DET,Grant Hill,NBA,22,70,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,0.097,TRUE,http://www.basketball-reference.com//teams/DET/1995.html
1995-96,TOR,Damon Stoudamire,NBA,22,70,40.9,19,4,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072,FALSE,http://www.basketball-reference.com//teams/TOR/1996.html
1996-97,PHI,Allen Iverson,NBA,21,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,FALSE,http://www.basketball-reference.com//teams/PHI/1997.html
1997-98,SAS,Tim Duncan,NBA,21,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,FALSE,http://www.basketball-reference.com//teams/SAS/1998.html
1998-99,TOR,Vince Carter,NBA,22,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136,FALSE,http://www.basketball-reference.com//teams/TOR/1999.html
1999-00,CHI,Elton Brand,NBA,20,81,37,20.1,10,1.9,0.8,1.6,0.482,0,0.685,7.5,0.121,TRUE,http://www.basketball-reference.com//teams/CHI/2000.html
