record,division_standing,division,team_season,season,team_id,player_name
36-33,3,Western,1952-53 Fort Wayne Pistons,1952-53,FTW,Monk Meineke
16-56,5,Eastern,1953-54 Baltimore Bullets,1953-54,BLB,Ray Felix
26-46,4,Western,1954-55 Milwaukee Hawks,1954-55,MLH,Bob Pettit
31-41,4,Western,1955-56 Rochester Royals,1955-56,ROC,Maurice Stokes
44-28,1,Eastern,1956-57 Boston Celtics,1956-57,BOS,Tom Heinsohn
37-35,3,Eastern,1957-58 Philadelphia Warriors,1957-58,PHW,Woody Sauldsberry
33-39,2,Western,1958-59 Minneapolis Lakers,1958-59,MNL,Elgin Baylor
49-26,2,Eastern,1959-60 Philadelphia Warriors,1959-60,PHW,Wilt Chamberlain
33-46,4,Western,1960-61 Cincinnati Royals,1960-61,CIN,Oscar Robertson
18-62,5,Western,1961-62 Chicago Packers,1961-62,CHP,Walt Bellamy
25-55,5,Western,1962-63 Chicago Zephyrs,1962-63,CHZ,Terry Dischinger
55-25,2,Eastern,1963-64 Cincinnati Royals,1963-64,CIN,Jerry Lucas
31-49,4,Eastern,1964-65 New York Knicks,1964-65,NYK,Willis Reed
35-45,4,Western,1965-66 San Francisco Warriors,1965-66,SFW,Rick Barry
36-46,6,Eastern,1967-68 Baltimore Bullets,1966-67,DET,Dave Bing
30-51,5,Western,1966-67 Detroit Pistons,1967-68,BAL,Earl Monroe
57-25,1,Eastern,1968-69 Baltimore Bullets,1968-69,BAL,Wes Unseld
56-26,2,Eastern,1969-70 Milwaukee Bucks,1969-70,MIL,Kareem Abdul-Jabbar
44-38,3,Atlantic,1970-71 Boston Celtics,1970-71,BOS,Dave Cowens
29-53,5,Pacific,1970-71 Portland Trail Blazers,1970-71,POR,Geoff Petrie
18-64,5,Pacific,1971-72 Portland Trail Blazers,1971-72,POR,Sidney Wicks
21-61,3,Atlantic,1972-73 Buffalo Braves,1972-73,BUF,Bob McAdoo
42-40,3,Atlantic,1973-74 Buffalo Braves,1973-74,BUF,Ernie DiGregorio
48-34,1,Pacific,1974-75 Golden State Warriors,1974-75,GSW,Jamaal Wilkes
42-40,3,Pacific,1975-76 Phoenix Suns,1975-76,PHO,Alvan Adams
30-52,4,Atlantic,1976-77 Buffalo Braves,1976-77,BUF,Adrian Dantley
49-33,2,Pacific,1977-78 Phoenix Suns,1977-78,PHO,Walter Davis
48-34,1,Midwest,1978-79 Kansas City Kings,1978-79,KCK,Phil Ford
61-21,1,Atlantic,1979-80 Boston Celtics,1979-80,BOS,Larry Bird
28-54,5,Midwest,1980-81 Utah Jazz,1980-81,UTA,Darrell Griffith
44-38,3,Atlantic,1981-82 New Jersey Nets,1981-82,NJN,Buck Williams
25-57,6,Pacific,1982-83 San Diego Clippers,1982-83,SDC,Terry Cummings
29-53,6,Midwest,1983-84 Houston Rockets,1983-84,HOU,Ralph Sampson
38-44,3,Central,1984-85 Chicago Bulls,1984-85,CHI,Michael Jordan
23-59,5,Atlantic,1985-86 New York Knicks,1985-86,NYK,Patrick Ewing
41-41,4,Central,1986-87 Indiana Pacers,1986-87,IND,Chuck Person
38-44,3,Atlantic,1987-88 New York Knicks,1987-88,NYK,Mark Jackson
43-39,4,Pacific,1988-89 Golden State Warriors,1988-89,GSW,Mitch Richmond
56-26,1,Midwest,1989-90 San Antonio Spurs,1989-90,SAS,David Robinson
26-56,5,Atlantic,1990-91 New Jersey Nets,1990-91,NJN,Derrick Coleman
31-51,7,Central,1991-92 Charlotte Hornets,1991-92,CHH,Larry Johnson
41-41,4,Atlantic,1992-93 Orlando Magic,1992-93,ORL,Shaquille O'Neal
50-32,3,Pacific,1993-94 Golden State Warriors,1993-94,GSW,Chris Webber
36-46,5,Midwest,1994-95 Dallas Mavericks,1994-95,DAL,Jason Kidd
28-54,7,Central,1994-95 Detroit Pistons,1994-95,DET,Grant Hill
21-61,8,Central,1995-96 Toronto Raptors,1995-96,TOR,Damon Stoudamire
22-60,6,Atlantic,1996-97 Philadelphia 76ers,1996-97,PHI,Allen Iverson
56-26,2,Midwest,1997-98 San Antonio Spurs,1997-98,SAS,Tim Duncan
23-27,6,Central,1998-99 Toronto Raptors,1998-99,TOR,Vince Carter
17-65,8,Central,1999-00 Chicago Bulls,1999-00,CHI,Elton Brand
34-48,6,Midwest,1999-00 Houston Rockets,1999-00,HOU,Steve Francis
43-39,4,Atlantic,2000-01 Orlando Magic,2000-01,ORL,Mike Miller
23-59,7,Midwest,2001-02 Memphis Grizzlies,2001-02,MEM,Pau Gasol
44-38,4,Pacific,2002-03 Phoenix Suns,2002-03,PHO,Amar'e Stoudemire
35-47,5,Central,2003-04 Cleveland Cavaliers,2003-04,CLE,LeBron James
18-64,4,Southeast,2004-05 Charlotte Bobcats,2004-05,CHA,Emeka Okafor
38-44,4,Southwest,2005-06 New Orleans/Oklahoma City Hornets,2005-06,NOK,Chris Paul
32-50,3,Northwest,2006-07 Portland Trail Blazers,2006-07,POR,Brandon Roy
20-62,5,Northwest,2007-08 Seattle SuperSonics,2007-08,SEA,Kevin Durant
41-41,2,Central,2008-09 Chicago Bulls,2008-09,CHI,Derrick Rose
25-57,5,Pacific,2009-10 Sacramento Kings,2009-10,SAC,Tyreke Evans
32-50,4,Pacific,2010-11 Los Angeles Clippers,2010-11,LAC,Blake Griffin
21-45,5,Central,2011-12 Cleveland Cavaliers,2011-12,CLE,Kyrie Irving
33-49,4,Northwest,2012-13 Portland Trail Blazers,2012-13,POR,Damian Lillard
