start_year,end_year,season,team_id,player_name,league,age,games_played,min_pg,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,fg_pct,X3pt_pct,ft_pct,ws,ws_per48,winner_tie,team_season_url,team,record,division_standing,division,team_wins,team_losses,team_win_pct
1952,1953,1952-53,FTW,Monk Meineke,NBA,22,68,33.10,10.70,6.90,2.20,NA,NA,38.10,NA,78.30,6.10,13.00,FALSE,http://www.basketball-reference.com//teams/FTW/1953.html,Fort Wayne Pistons,36-33,3,Western,36,33,52.17
1953,1954,1953-54,BLB,Ray Felix,NBA,23,72,37.10,17.60,13.30,1.10,NA,NA,41.70,NA,63.80,8.60,15.50,FALSE,http://www.basketball-reference.com//teams/BLB/1954.html,Baltimore Bullets,16-56,5,Eastern,16,56,22.22
1954,1955,1954-55,MLH,Bob Pettit,NBA,22,72,36.90,20.40,13.80,3.20,NA,NA,40.70,NA,75.10,10.70,19.40,FALSE,http://www.basketball-reference.com//teams/MLH/1955.html,Milwaukee Hawks,26-46,4,Western,26,46,36.11
1955,1956,1955-56,ROC,Maurice Stokes,NBA,22,67,34.70,16.80,16.30,4.90,NA,NA,35.40,NA,71.40,6.00,12.50,FALSE,http://www.basketball-reference.com//teams/ROC/1956.html,Rochester Royals,31-41,4,Western,31,41,43.06
1956,1957,1956-57,BOS,Tom Heinsohn,NBA,22,72,29.90,16.20,9.80,1.60,NA,NA,39.70,NA,79.00,7.10,16.00,FALSE,http://www.basketball-reference.com//teams/BOS/1957.html,Boston Celtics,44-28,1,Eastern,44,28,61.11
1957,1958,1957-58,PHW,Woody Sauldsberry,NBA,23,71,33.50,12.80,10.30,0.80,NA,NA,36.00,NA,61.50,0.30,0.70,FALSE,http://www.basketball-reference.com//teams/PHW/1958.html,Philadelphia Warriors,37-35,3,Eastern,37,35,51.39
1958,1959,1958-59,MNL,Elgin Baylor,NBA,24,70,40.80,24.90,15.00,4.10,NA,NA,40.80,NA,77.70,9.80,16.50,FALSE,http://www.basketball-reference.com//teams/MNL/1959.html,Minneapolis Lakers,33-39,2,Western,33,39,45.83
1959,1960,1959-60,PHW,Wilt Chamberlain,NBA,23,72,46.40,37.60,27.00,2.30,NA,NA,46.10,NA,58.20,17.00,24.50,FALSE,http://www.basketball-reference.com//teams/PHW/1960.html,Philadelphia Warriors,49-26,2,Eastern,49,26,65.33
1960,1961,1960-61,CIN,Oscar Robertson,NBA,22,71,42.70,30.50,10.10,9.70,NA,NA,47.30,NA,82.20,13.20,21.00,FALSE,http://www.basketball-reference.com//teams/CIN/1961.html,Cincinnati Royals,33-46,4,Western,33,46,41.77
1961,1962,1961-62,CHP,Walt Bellamy,NBA,22,79,42.30,31.60,19.00,2.70,NA,NA,51.90,NA,64.40,16.30,23.30,FALSE,http://www.basketball-reference.com//teams/CHP/1962.html,Chicago Packers,18-62,5,Western,18,62,22.50
1962,1963,1962-63,CHZ,Terry Dischinger,NBA,22,57,40.20,25.50,8.00,3.10,NA,NA,51.20,NA,77.00,9.20,19.20,FALSE,http://www.basketball-reference.com//teams/CHZ/1963.html,Chicago Zephyrs,25-55,5,Western,25,55,31.25
1963,1964,1963-64,CIN,Jerry Lucas,NBA,23,79,41.40,17.70,17.40,2.60,NA,NA,52.70,NA,77.90,12.70,18.70,FALSE,http://www.basketball-reference.com//teams/CIN/1964.html,Cincinnati Royals,55-25,2,Eastern,55,25,68.75
1964,1965,1964-65,NYK,Willis Reed,NBA,22,80,38.00,19.50,14.70,1.70,NA,NA,43.20,NA,74.20,5.50,8.70,FALSE,http://www.basketball-reference.com//teams/NYK/1965.html,New York Knicks,31-49,4,Eastern,31,49,38.75
1965,1966,1965-66,SFW,Rick Barry,NBA,21,80,37.40,25.70,10.60,2.20,NA,NA,43.90,NA,86.20,10.40,16.70,FALSE,http://www.basketball-reference.com//teams/SFW/1966.html,San Francisco Warriors,35-45,4,Western,35,45,43.75
1966,1967,1966-67,DET,Dave Bing,NBA,23,80,34.50,20.00,4.50,4.10,NA,NA,43.60,NA,73.80,5.30,9.20,FALSE,http://www.basketball-reference.com//teams/DET/1967.html,Baltimore Bullets,36-46,6,Eastern,36,46,43.90
