column_name,name,legend_name,table_name
player,Player,PLAYER,Advanced Player Stats
pos,Position,POS,Advanced Player Stats
age,Age,AGE,Advanced Player Stats
bref_team_id,Team ID,BREF_TEAM_ID,Advanced Player Stats
g,Games Played,G,Advanced Player Stats
mp,Minutes Played,MP,Advanced Player Stats
per,Player Efficency Rating,PER,Advanced Player Stats
ts.,True Shooting %,TS%,Advanced Player Stats
efg.,Effective Field Goal %,EFG,Advanced Player Stats
ftr,Free Throw Attempt Rate,FTR,Advanced Player Stats
x3par,3PT Attempt Rate,3PR,Advanced Player Stats
orb.,Offensive Rebound %,ORB%,Advanced Player Stats
drb.,Defensive Rebound %,DRB%,Advanced Player Stats
trb.,Total Rebound %,TRB%,Advanced Player Stats
ast.,Assist %,AST%,Advanced Player Stats
stl.,Steal %,STL%,Advanced Player Stats
blk.,Block %,BLK.,Advanced Player Stats
tov.,Turnover %,TOV%,Advanced Player Stats
usg.,Usage,USG,Advanced Player Stats
ortg,Offensive Rating,ORTG,Advanced Player Stats
drtg,Defensive Rating,DRTG,Advanced Player Stats
ows,Offensive Winshare,OWS,Advanced Player Stats
dws,Defensive Winshare,DWS,Advanced Player Stats
ws,Winshare Total,WS,Advanced Player Stats
ws.48,Winshare Per 48 Minutes,WS.48,Advanced Player Stats
obpm,Offensive Plus-Minus,OBPM,Advanced Player Stats
dbpm,Defensive Plus Minus,DBPM,Advanced Player Stats
bpm,Plus Minus,BPM,Advanced Player Stats
