player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg.,x3p,x3pa,x3p.,x2p,x2pa,x2p.,ft,fta,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,table_name,season,data_source,scrape_time,
Paul Arizin,SF,22,PHW,65,0,0,5.4,13.3,40.7,0,0,0,5.4,13.3,40.7,6.4,8.1,79.3,0,0,9.8,2.1,0,0,0,4.4,17.2,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,100
Curly Armstrong,G-F,32,FTW,38,0,0,1.9,6.1,31,0,0,0,1.9,6.1,31,1.5,2.4,64.4,0,0,2.3,2,0,0,0,2.6,5.3,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Cliff Barker,SG,30,INO,56,0,0,0.9,3.6,25.2,0,0,0,0.9,3.6,25.2,0.9,1.4,64.9,0,0,1.8,2.1,0,0,0,1.8,2.7,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Leo Barnhorst,SF,26,INO,68,0,0,3.4,9.9,34.6,0,0,0,3.4,9.9,34.6,1.2,1.8,68.9,0,0,4.4,3.2,0,0,0,2.9,8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Ed Bartels,F,25,WSC,17,0,0,1.4,5.7,24.7,0,0,0,1.4,5.7,24.7,1.4,2.7,52.2,0,0,4.9,0.7,0,0,0,3.2,4.2,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Ed Beach,F,22,TOT,12,0,0,0.7,3.2,21.1,0,0,0,0.7,3.2,21.1,0.5,0.8,66.7,0,0,2.1,0.3,0,0,0,1.2,1.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Ralph Beard,G,23,INO,66,0,0,6.2,16.8,36.8,0,0,0,6.2,16.8,36.8,4.4,5.7,77.5,0,0,3.8,4.8,0,0,0,1.5,16.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Leon Blevins,G,24,INO,2,0,0,0.5,2,25,0,0,0,0.5,2,25,0,0.5,0,0,0,1,0.5,0,0,0,1.5,1,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Nelson Bobb,PG,26,PHW,53,0,0,1,3,32.9,0,0,0,1,3,32.9,0.8,1.5,55.7,0,0,1.9,1.5,0,0,0,1.6,2.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Ike Borsavage,C-F,26,PHW,24,0,0,1.1,3.1,35.1,0,0,0,1.1,3.1,35.1,0.5,0.8,66.7,0,0,1,0.2,0,0,0,1.4,2.7,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Vince Boryla,SF,23,NYK,66,0,0,5.3,13.1,40.6,0,0,0,5.3,13.1,40.6,4.2,5,83.7,0,0,3.8,2.8,0,0,0,3.7,14.9,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Harry Boykoff,C,28,TOT,48,0,0,2.6,7,37.5,0,0,0,2.6,7,37.5,1.5,2.1,74,0,0,4.6,1.3,0,0,0,4.1,6.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Frankie Brian,G,27,TRI,68,0,0,5.3,16.6,32.2,0,0,0,5.3,16.6,32.2,6.1,7.5,82.3,0,0,3.6,3.9,0,0,0,3.2,16.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Walt Budko,PF,25,BLB,64,0,0,2.6,7.3,35.6,0,0,0,2.6,7.3,35.6,2.6,3.5,74.4,0,0,7.1,2.1,0,0,0,3.2,7.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Art Burris,SF,26,FTW,33,0,0,0.8,3.4,24.8,0,0,0,0.8,3.4,24.8,0.6,1.1,58.3,0,0,3.2,0.8,0,0,0,1.5,2.3,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Tommy Byrnes,F-G,27,TOT,47,0,0,1.7,5.7,30.3,0,0,0,1.7,5.7,30.3,1.2,1.8,65.5,0,0,1.5,1.5,0,0,0,1.7,4.6,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Gerry Calabrese,SG,25,SYR,46,0,0,1.5,4.3,35.5,0,0,0,1.5,4.3,35.5,1.3,1.9,69.3,0,0,1.4,1.4,0,0,0,1.7,4.4,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Bill Calhoun,SG,23,ROC,66,0,0,2.7,7.7,34.6,0,0,0,2.7,7.7,34.6,2.4,3.5,70.6,0,0,3,1.5,0,0,0,1.3,7.7,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Don Carlson,G-F,31,BLB,9,0,0,1.9,5.1,37,0,0,0,1.9,5.1,37,0.9,1.8,50,0,0,1.7,2.1,0,0,0,2.6,4.7,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Bob Carpenter,F-C,33,TOT,56,0,0,1.9,6,32.5,0,0,0,1.9,6,32.5,1.9,2.3,82,0,0,4.1,1.4,0,0,0,2.1,5.8,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Al Cervi,PG,33,SYR,53,0,0,2.5,6.5,38.2,0,0,0,2.5,6.5,38.2,3.7,4.5,81.9,0,0,2.9,3.9,0,0,0,3.4,8.6,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Leroy Chollet,F,25,SYR,14,0,0,0.4,3.6,11.8,0,0,0,0.4,3.6,11.8,0.9,1.4,63.2,0,0,1.1,0.9,0,0,0,2.1,1.7,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
Cal Christensen,SF,23,TRI,67,0,0,2,6.6,30.1,0,0,0,2,6.6,30.1,2.6,3.7,71.4,0,0,7.8,2.4,0,0,0,4,6.6,player_per_game_total,1950-1951,Basketball-Reference,10/13/14 12:33,
